N4837 125649.8 +481800 14.4  8   1.0   0.4  90  44198 UGC 8068              
N4838 125756.1 -130337 13.8  8   1.6   1.4 150  44383 MCG -2-33-74          
N4839 125724.4 +272951 13.0  8   4.0   1.9  65  44298 UGC 8070              
N4840 125732.8 +273638 14.7  8   0.7   0.7   0  44324 MCG 5-31-29           
N4841 125732.0 +282835 14.1  8   1.6   1.0 124  44323 NGC 4841A             
N4841 125734.0 +282856 14.0  8   1.0   0.7 134  44329 NGC 4841B             
N4841A125732.0 +282835 14.1  8   1.6   1.0 124  44323 NGC 4841-1            
N4841B125734.0 +282856 14.0  8   1.0   0.7 134  44329 NGC 4841-2            
N4842 125736.0 +272935 15.0  8   0.4   0.4   0  44337 NGC 4842A             
N4842 125736.4 +272904 16.1  8   0.3   0.2  45  44338 NGC 4842B             
N4842A125736.0 +272935 15.0  8   0.4   0.4   0  44337 NGC 4842-1            
N4842B125736.4 +272904 16.1  8   0.3   0.2  45  44338 NGC 4842-2            
N4843 125800.9 -033717 14.0  8   2.1   0.5  87  44388 MCG 0-33-24           
N4844 125808.4 -130446       1   0.0   0.0   0                              
N4845 125800.9 +013432 12.1  8   4.9   1.3  80  44392 NGC 4910              
N4846 125747.7 +362212 14.5  8   1.3   0.6  62  44362 UGC 8079              
N4847 125828.9 -130828 15.3  8   0.6   0.5  21  44464                       
N4848 125805.7 +281433 14.4  8   1.6   0.5 158  44405 UGC 8082              
N4849 125812.7 +262347 14.1  8   1.9   1.4 175  44424 IC 3935               
N4849A125813.9 +262534 15.9  8   0.5   0.5   0  44444 IC 838                
N4850 125821.7 +275806 15.4  8   0.7   0.5  63  44449 MCG 5-31-40           
N4851 125821.8 +280852 15.2  8   0.4   0.2 112  44439 ZWG 160.61            
N4851 125822.3 +280907 16.0  8   0.3   0.2 100  83717 DRCG 27-198           
N4852 130004.3 -593633       3  12.0   0.0   0        OCL 894               
N4853 125835.4 +273545 14.4  8   0.8   0.7  81  44481 UGC 8092              
N4854 125847.6 +274027 15.0  8   1.2   0.8  57  44502 MCG 5-31-49           
N4855 125918.4 -131350 13.9  8   1.7   1.3 155  44572 MCG -2-33-77          
N4856 125921.1 -150232 11.5  8   4.3   1.2  37  44582 MCG -2-33-78          
N4857 125718.1 +701211 14.6  8   1.3   0.6 110  44284 UGC 8077              
N4858 125902.3 +280655 16.0  8   0.5   0.4  36  44535 MCG 5-31-51           
N4859 125901.9 +264856 14.6  8   1.3   0.8  95  44534 UGC 8097              
N4860 125904.0 +280724 14.5  8   0.9   0.8 126  44539 MCG 5-31-54           
N4861 125901.8 +345143 14.1  8   4.2   1.6  15  44536 IC 3961               
N4862 125930.8 -140755 14.9  8   1.1   0.8 153  44610 IC 3999               
N4863 125942.5 -140146 14.6  8   1.8   0.4  24  44650 MCG -2-33-81          
N4864 125913.2 +275835 14.6  8   0.7   0.5 129  44566 MCG 5-31-58           
N4865 125920.0 +280503 14.6  8   0.9   0.5 115  44578 UGC 8100              
N4866 125927.0 +141017 12.0  8   6.4   1.5  87  44600 UGC 8102              
N4867 125915.5 +275814 15.5  8   0.5   0.4   3  44568 MCG 5-31-62           
N4868 125909.0 +371834 13.0  8   1.5   1.4  90  44557 UGC 8099              
N4869 125923.5 +275441 14.8  8   0.8   0.7  69  44587 MCG 5-31-65           
N4870 125917.8 +370254 15.4  8   0.9   0.3   0  44569                       
N4871 125930.1 +275723 15.2  8   0.7   0.5 177  44606 MCG 5-31-66           
N4872 125934.3 +275648 15.4  8   0.5   0.3 123  44624 MCG 5-31-68           
N4873 125932.9 +275900 15.1  8   0.8   0.6 105  44621 MCG 5-31-69           
N4874 125935.8 +275734 12.9  8   1.9   1.9   0  44628 UGC 8103              
N4875 125938.1 +275427 15.7  8   0.4   0.3 123  44640 ZWG 160.232           
N4876 125944.6 +275444 15.4  8   0.6   0.4  18  44658 MCG 5-31-73           
N4877 130026.4 -151658 13.2  8   2.2   1.0   6  44761 MCG -2-33-86          
N4878 130020.1 -060614 14.5  8   1.3   1.1  69  44747 MCG -1-33-64          
N4879 130025.5 -060638       1   0.0   0.0   0                              
N4880 130010.5 +122900 12.5  8   3.1   2.5 165  44719 UGC 8109              
N4881 125957.9 +281447 14.5  8   1.0   1.0   0  44686 UGC 8106              
N4882 130004.6 +275911 14.9  8   0.6   0.6   0  44698 NGC 4886              
N4883 125956.2 +280203 15.4  8   0.5   0.3  97  44682 ZWG 160.237           
N4884 130008.3 +275835 12.5  8   2.8   2.0  80  44715 NGC 4889              
N4885 130033.8 -065111 14.9  8   0.5   0.4 138  44781 MCG -1-33-65          
N4886 130004.6 +275911 14.9  8   0.6   0.6   0  44698 NGC 4882              
N4887 130039.3 -144000 14.5  8   1.1   0.6 155  44796 MCG -2-33-87          
N4888 130036.2 -060432 14.3  8   1.0   0.4 119  44766 MCG -1-33-66          
N4889 130008.3 +275835 12.5  8   2.8   2.0  80  44715 NGC 4884              
N4890 130038.9 -043614 13.8  8   0.9   0.7  95  44793 MCG -1-33-67          
N4891 130047.0 -132535       1   0.0   0.0   0                              
N4892 130003.6 +265353 14.8  8   1.3   0.3  13  44697 UGC 8108              
N4893 125959.6 +371138 15.4  8   0.4   0.3   0  44690 IC 4015               
N4893A125959.9 +371114 15.8  8   0.4   0.2 170  44696 IC 4016               
N4894 130016.7 +275801 16.0  8   0.5   0.1  27  44732 ZWG 160.247           
N4895 130018.0 +281206 14.2  8   1.8   0.6 153  44737 UGC 8113              
N4895A130009.3 +281012 15.6  8   0.6   0.3  99  44717 ZWG 160.245           
N4896 130030.9 +282047 14.9  8   1.0   0.6   5  44768 UGC 8117              
N4897 130052.9 -132656 12.9  8   2.7   2.3 150  44829 MCG -2-33-89          
N4898 130017.7 +275718 14.6  8   0.6   0.4  90  44736 MCG 5-31-82           
N4898 130018.2 +275720 14.6  8   0.4   0.4   0  44741 RB 94                 
N4899 130056.5 -135643 12.9  8   2.6   1.4  20  44841 MCG -2-33-90          
N4900 130039.0 +023004 12.0  8   2.2   2.1   0  44797 UGC 8116              
N4901 125956.3 +471222 15.4  8   1.0   1.0   0  44684 UGC 8112              
N4902 130059.6 -143050 11.7  8   2.9   2.6  70  44847 MCG -2-33-92          
N4903 130122.7 -305606 13.7  8   1.6   1.3  73  44894 ESO 443-30            
N4904 130058.5 -000137 12.8  8   2.2   1.5  25  44846 UGC 8121              
N4905 130130.6 -305203 14.3  8   1.8   1.1  26  44902 ESO 443-31            
N4906 130039.8 +275526 15.1  8   0.5   0.5   0  44799 ZWG 160.253           
N4907 130048.8 +280925 14.4  8   1.1   1.0  42  44819 MCG 5-31-89           
