#full_name,epoch_mjd,q,e,i,w,om,tp_cal,orbit_id,neo,M1,M2,diameter,extent,albedo,rot_per,per_y,moid,class,K1,K2
"   73P/Schwassmann-Wachmann 3-B",53880,0.9391110367239190459542,0.6932855208263886126474,11.396951947033860719216,198.7994525904428,69.89247679701043,20060607.9244273,"JPL K061/24",Y,15.2,,,,,,5.35774699700879,.0407102,JFc,8.,
"   73P/Schwassmann-Wachmann 3-C",55980,.9428566311694347,.6922258013072282,11.37915705677313,198.8705914205202,69.84321690348189,20111016.8996863,"JPL K114/1",Y,13.2,,,,,,5.36201936497173,.0383732,JFc,9.,
"   73P/Schwassmann-Wachmann 3-E",51920,0.937436994548815,0.6938774627627,11.4056211759106,198.7732444491985,69.91710448172594,20010128.4534014,"JPL K013/11",Y,10.4,,,,,,5.35893362989882,.0410327,JFc,15.0,
"   73P/Schwassmann-Wachmann 3-G",53839,0.939183930115084,0.693412971192622,11.3895622899332,198.7746010901946,69.90839960829794,20060608.0962630,"JPL 19",Y,16.8,18.0,,,,,5.36171242350909,.0405397,JFc,8.0,5.0
"   73P/Schwassmann-Wachmann 3-H",53839,0.939169508544489,0.693565806671118,11.3910638961291,198.7738044969675,69.9078914114573,20060608.2799878,"JPL 14",Y,20.2,21.7,,,,,5.36560060311544,.0405504,JFc,8.0,5.0
"   73P/Schwassmann-Wachmann 3-J",53815,0.939020204694954,0.691538816676964,11.380265457103,198.869444132752,69.82886017812947,20060608.1501033,"JPL 3",Y,,,,,,,5.31153230587721,.040713,JFc,,
"   73P/Schwassmann-Wachmann 3-K",53839,0.939076843864193,0.693543485158215,11.3910646244732,198.7896438621016,69.89734340284451,20060608.2224135,"JPL 4",Y,20.9,,,,,,5.36422038658229,.0405795,JFc,10.0,
"   73P/Schwassmann-Wachmann 3-L",53839,0.939089394354414,0.694735674965028,11.3987127952321,198.7475944367357,69.93678268425323,20060608.3286997,"JPL 7",Y,20.9,21.7,,,,,5.39578363248632,.0406543,JFc,10.0,5.0
"   73P/Schwassmann-Wachmann 3-M",53839,0.939096814670938,0.693940938277251,11.3943614399649,198.7775561198109,69.90530158146959,20060608.2571557,"JPL 11",Y,21.0,21.8,,,,,5.37484432085886,.0405893,JFc,15.0,5.0
"   73P/Schwassmann-Wachmann 3-N",53839,0.939254358392007,0.692288993783599,11.3809412138733,198.7643511012408,69.89730281276252,20060608.2704287,"JPL 14",Y,20.4,21.2,,,,,5.33296195128557,.0405265,JFc,10.0,5.0
"   73P/Schwassmann-Wachmann 3-P",53839,0.939159139363166,0.695575899386973,11.4054219318703,198.7241361407526,69.95619989625854,20060607.8532228,"JPL 7",Y,,,,,,,5.4187415622391,.0406505,JFc,,
"   73P/Schwassmann-Wachmann 3-Q",53839,0.939715748283575,0.698647244447971,11.4193580973025,198.4951921977602,70.13788751331991,20060607.6794476,"JPL 3",Y,21.5,,,,,,5.5066846858957,.0407459,JFc,7.5,
"   73P/Schwassmann-Wachmann 3-R",53839,0.939131547287258,0.694088213263508,11.3947263030202,198.769702114044,69.91308584130121,20060608.1796405,"JPL 15",Y,19.2,20.0,,,,,5.37902460370814,.0405802,JFc,8.0,5.0
"   73P/Schwassmann-Wachmann 3-S",53839,1.02236657781188,0.69335823324,11.0481813428788,181.562191599204,81.99161507316578,20060608.7601619,"JPL 2",Y,21.1,,,,,,6.08795179228671,.00735462,JFc,15.0,
"   73P/Schwassmann-Wachmann 3-T",53839,0.939318776106244,0.711932414090286,11.5122995825914,198.1833800675977,70.4760044162668,20060608.7001791,"JPL 5",Y,,,,,,,5.888248334766,.0416177,JFc,,
"   73P/Schwassmann-Wachmann 3-U",53839,0.939390329396146,0.689397458779432,11.3598206486042,198.8353864788111,69.8327199189979,20060609.0362429,"JPL 2",Y,,,,,,,5.25980717089293,.0402974,JFc,,
"   73P/Schwassmann-Wachmann 3-V",53839,0.912206736092244,0.69348697056495,11.651823761982,204.9294792152065,65.24678693301523,20060608.4766819,"JPL 2",Y,,,,,,,5.13422271626054,.0436362,JFc,,
"   73P/Schwassmann-Wachmann 3-W",53839,0.93912503260658,0.697573249761406,11.4183179944517,198.6608054163719,70.01698506664813,20060608.4695423,"JPL 3",Y,,,,,,,5.4722133789927,.0407989,JFc,,
"   73P/Schwassmann-Wachmann 3-X",53839,0.939082699809293,0.694751288807723,11.3993873710683,198.7509795337178,69.92862059302733,20060608.5550265,"JPL 7",Y,21.7,,,,,,5.39613993690678,.040651,JFc,10.0,
"   73P/Schwassmann-Wachmann 3-Y",53839,0.939165740778142,0.719502303654523,11.5618412574595,197.9700546537453,70.66913935014475,20060608.5948301,"JPL 3",Y,,,,,,,6.12671412915886,.0421453,JFc,,
"   73P/Schwassmann-Wachmann 3-Z",53839,0.942039154090354,0.69335823324,11.349472014182,198.0161462720894,70.49401080978578,20060608.3091201,"JPL 2",Y,,,,,,,5.38473915450535,.0402231,JFc,,
"   73P/Schwassmann-Wachmann 3-AA",53839,0.939284534168623,0.680633878945504,11.2950649353802,199.1079394823084,69.57271647354284,20060609.1662953,"JPL 3",Y,,,,,,,5.04394908784768,.0398375,JFc,,
"   73P/Schwassmann-Wachmann 3-AB",53856,0.939166328287337,0.691246808725753,11.3731938601948,198.8169658347176,69.85894300547889,20060608.7135029,"JPL 4",Y,,,,,,,5.30523699962686,.0406154,JFc,,
"   73P/Schwassmann-Wachmann 3-AC",53856,0.939045253315126,0.695367114577502,11.4052801907194,198.7526383059272,69.93380113835332,20060608.6783260,"JPL 5",Y,,,,,,,5.41218718748961,.040807,JFc,,
"   73P/Schwassmann-Wachmann 3-AD",53839,0.940707359529286,0.69335823324,11.3683658421522,198.3713234061079,70.21921728190907,20060608.6792402,"JPL 2",Y,,,,,,,5.37332429278925,.0403756,JFc,,
"   73P/Schwassmann-Wachmann 3-AE",53839,0.9390511810333,0.696725656659651,11.4146906889204,198.7081422587468,69.97232230057514,20060608.3261872,"JPL 5",Y,,,,,,,5.44864597413083,.0407527,JFc,,
