071805.561-0.0034+163225.37-0.036 3.6A2                 :lambda Geminorium  		   
173735.200-0.0029-152354.83-0.059 3.6A5                 :xi Serpentis  			   
204457.468-0.0075-661211.10+0.015 3.6A5                 :beta Pavonis  			   
165220.131-0.0009-380103.13-0.024 3.6B2                        				   
160007.280-0.0019-382348.60-0.032 3.6B3                        				   
091057.956-0.0034-585801.34+0.008 3.6B3                        				   
075646.690-0.0033-525855.95+0.026 3.6B3                 :chi Carinae 			   
103201.403-0.0032-614107.31+0.009 3.6B5p                       				   
224127.732+0.0055+104952.79-0.013 3.6B8 Homan           :zeta Pegasi  			   
101344.223-0.0072-700216.44+0.008 3.6B8                 :omega Carinae  		   
041753.670+0.0054-334754.22-0.008 3.6B9                        				   
042839.715+0.0071+155215.23-0.025 3.6F0                        				   
101641.406+0.0013+232502.19-0.008 3.6F0 Adhafera        :zeta Leonis  			   
015304.899+0.0008+293443.94-0.234 3.6F5 Mothallah       :alpha Trianguli  		   
093042.014-0.0160-402800.16+0.073 3.6F5                        				   
004906.040+0.1377+574857.21-0.529 3.6F8                        				   
150156.750-0.0036+402326.00-0.028 3.6G5 Nekkar          :beta Bootis  			   
200843.492+0.1984-661055.28-1.129 3.6G5                 :delta Pavonis  		   
042836.999+0.0076+191049.49-0.037 3.6K0 Ain             :epsilon Tauri  		   
010835.401+0.0148-101055.98-0.137 3.6K0                 :eta Ceti  			   
014404.118-0.1188-155614.62+0.859 3.6K0                 :tau Ceti  			   
164253.778+0.0032+385520.50-0.081 3.6K0                 :eta Herculis  			   
185743.796+0.0023-210623.97-0.012 3.6K0                 :xi Sagittari  			   
204517.395+0.0125+615019.75+0.819 3.6K0                 				   
221051.287+0.0019+581204.43+0.004 3.6K0                 :zeta Cephei  			   
082544.195-0.0059-660813.25-0.157 3.6K0                 :beta Volantis  		   
174544.000-0.0018-644325.60-0.052 3.6K0                 :eta Pavonis  			   
122121.550-0.0243-602404.46+0.087 3.6K2                        				   
130216.308+0.0550-713256.12-0.024 3.6K2                 :delta Muscae  			   
152148.371-0.0075-361541.02-0.084 3.6K5                 :phi Lupi 			   
090337.529-0.0032+470923.71-0.052 3.7A0 Talitha Australis:kappa Ursa Majoris 		   
174753.568-0.0014+024226.19-0.074 3.7A0                 :gamma Ophiuchi  		   
054657.325-0.0011-144919.22-0.001 3.7A2                 :zeta Leporis  			   
154611.276+0.0048+152518.54-0.045 3.7A2 Chow            :beta Serpentis  		   
221011.988+0.0185+061152.31+0.028 3.7A2 Baham           :theta Pegasi 			   
224833.296+0.0115-511900.52-0.069 3.7A2                 :epsilon Gruis  		   
180720.986-0.0041+093349.93+0.080 3.7A3                        				   
084335.529-0.0010-331110.94+0.012 3.7B2                 :alpha Pyxidis  		   
152240.863-0.0018-444121.92-0.013 3.7B3                        				   
003658.297+0.0022+535348.86-0.010 3.7B3                 :zeta Cassiopeiae  		   
084017.644-0.0019-525519.03+0.020 3.7B3                 :omicron Velorum  		   
051736.390-0.0010-065039.83-0.008 3.7B5                 :tau Orionis  			   
095651.753-0.0012-543403.78+0.007 3.7B5 Tseen Ke        :phi Velorum 			   
024959.024+0.0050+271537.93-0.116 3.7B8                 				   
152749.751-0.0135+290620.49+0.085 3.7F0pNusakan         :beta Coronae Borealis  	   
203732.956+0.0078+143542.63-0.033 3.7F5 Rotanev         :beta Delphini  		   
182103.391+0.1196+724358.42-0.349 3.7F8                 :chi Draconis 			   
074426.855-0.0023+242352.70-0.052 3.7G5                 :kappa Geminorium  		   
013129.014+0.0020+152044.73-0.006 3.7G5                 :eta Piscium  			   
113300.137-0.0161-315127.33-0.038 3.7G5                 :xi Hydrae  			   
015557.496+0.0732-513632.14+0.291 3.7G5                 :chi Eridani 			   
034314.916-0.0061-094548.20+0.745 3.7K0 Rana            :delta Eridani  		   
111828.735-0.0021+330539.40+0.028 3.7K0 Alula Borealis  :nu Ursa Majoris  		   
225000.205+0.0108+243605.79-0.041 3.7K0 Sadalbari       :mu Pegasi  			   
224940.826-0.0107+661201.49-0.125 3.7K0                 :iota Cephei  			   
090409.277-0.0045-470552.14-0.014 3.7K0                        				   
205448.610+0.0024-582714.98-0.025 3.7K0                 :beta Indi  			   
214128.687+0.0155-772324.30-0.242 3.7K0                 :nu Octanis  			   
074515.303-0.0006-375807.23+0.001 3.7K5                        				   
195845.429+0.0047+192931.82+0.024 3.7K5                 :gamma Sagittae  		   
070143.159-0.0003-275605.52+0.004 3.7K5                 :sigma Canis Majoris  		   
164947.117+0.0045-590229.33-0.031 3.7K5                        				   
125536.218-0.0312+032350.71-0.054 3.7M0 Auva            :delta Virginis  		   
061452.649-0.0049+223024.34-0.012 3.7M0                        				   
030510.592+0.0111+385025.02-0.105 3.7M3                 :rho Persei  			   
