# Constellation Lines data file for KStars.
# Copyright 2004 by Jason Harris and Clemens (?)
# This file is licensed under the terms of the 
# GNU General Public License (GPL), Version 2:
# http://www.gnu.org/licenses/gpl.html
#
#
C Western
# THE ONE BEHIND
M 172167
# 
# 
#
C Korean
# HOLY KETTLE (JuJeong)
M 117176
D 115383
D 115521
# 
# FARM OF CAPITAL CITY (CheonJeon)
M 122408
D 118022
# 
# DIGNITY OF KING (JwaGak)
M 118098
D 116658
M 117675
D 116568
# 
# NOMINATION (JinHyeon)
M 114330
# 
# GATE OF SKY (CheonMun)
M 116976
D 114642
# 
# EQUALITY (Pyeong)
M 115659
D 114149
# 
# HELPER (SeopJae)
M 129972
D 129175
D 129246
# 
# HELPER (SeopJae)
M 121370
D 120136
D 120477
# 
# POSITION OF HOLY KING (DaeGaak)
M 124897
# 
# NECK OF DRAGON (Hang)
M 125337
D 124294
D 124850
D 126868
# 
# BEHEADING (JeolWii)
M 120452
D 121847
D 123123
D 124206
D 125932
D 126769
# 
# JUDGE (DuunWaan)
M 127972
D 123139
# 
# FLUTTERING FLAG (ChoYo)
M 127762
# 
# JAVELIN OF SKY (GyeongHaa)
M 129988
D 128167
D 127665
# 
# SEAT FOR LONGEVITY (JaeSeok)
M 126661
D 123999
D 120539
# 
# OAR FOR VISITOR (HangJii)
M 124679
D 126129
D 126248
D 124224
D 122797
D 122365
D 124679
# 
# MILK OF SKY (CheonYuu)
M 141513
# 
# HOUSE OF QUEEN (Jeo)
M 130841
D 134759
D 138905
D 135742
# 
# ANCIENT CHARIOT (JinGeo)
M 133216
D 135758
D 130694
# 
# CARRIAGE FOR KING (CheonPouk)
M 139063
D 139365
# 
# GENERAL OF CAVALRY (GiJinJangGuun)
M 129056
# 
# CAVALRY OF EMPEROR (GiGwan)
M 108248
D 107446
D 108903
D 105435
D 108483
D 110304
D 118716
D 125288
D 125628
D 112092
M 111123
D 108903
D 106490
M 118716
D 122223
D 121790
D 120324
D 115892
D 114613
D 111968
D 110304
M 125288
D 134505
D 134481
D 135734
M 125628
D 135379
# 
# GENERAL OF MOBILE TROOPS (GeoGii)
M 128620
D 122451
D 128898
D 128620
# 
# EAST ROAD (DongHaam)
M 148605
D 147933
D 148898
D 147700
# 
# GATE BOLT (GeonPae)
M 145502
# 
# DOOR LOCK AND KEY (GuGeom)
M 144218
D 144470
D 144608
# 
# PENALTY (Beol)
M 146436
D 145964
D 145809
# 
# ROYAL HALL (Baang)
M 144218
D 143275
D 143018
D 142669
# 
# CHAMBERLAIN (JongGwan)
M 141556
D 142630
# 
# SUN (iil)
M 142114
# 
# WEST ROAD (SeoHaam)
M 145570
D 144069
D 142983
D 142198
# 
# SEAT OF EMPEROR (Shim)
M 149438
D 148478
D 147165
# 
# FIVE TROOPS (JeokJol)
M 138690
D 136298
D 136504
D 139664
D 138690
D 143118
M 143546
D 139664
D 144197
M 132058
D 136504
D 133242
M 136422
D 136298
# 
# RIVER OF SKY (CheonGang)
M 158643
D 157792
D 157056
D 155886
# 
# PRAYER FOR PROGENY (BuYeol)
M 161892
# 
# FISH (Eo)
M 162587
# 
# FORECAST (Ku)
M 159217
D 163145
D 166063
D 165024
D 158427
D 159217
# 
# YARD FOR EMPRESSES (Mii)
M 158408
D 158926
D 160578
D 161471
D 159532
D 155203
D 152334
D 151890
D 151680
# 
# HOLY PALACE (ShinGuung)
M 151890
D 151985
# 
# WINNOW (Kii)
M 165135
D 168454
D 169022
D 167618
# 
# OUTER PESTLE (WaeJeo)
M 170465
D 169405
D 169767
# 
# CHAFF (Gaang)
M 169467
# 
# HEAD OF TOWN (CheonByeon)
M 176984
D 177756
D 176678
D 175751
D 173764
D 173819
D 173009
D 172748
D 171443
# 
# BUILD (Geon)
M 181615
D 181577
D 180540
M 178524
D 177241
D 175775
# 
# FOWL OF SKY (CheonGae)
M 184915
D 184492
# 
# SCHRINE OF SKY (NaamDoo)
M 176687
D 177716
D 175191
D 173300
D 169916
D 166937
# 
# DOG(Goo)
M 177074
D 175794
# 
# NORTHEASTERN NATIONS (GuuGuuk)
M 186005
D 186648
D 184707
D 182369
# 
# OLD FARMER (NongJaang_iin)
M 167818
# 
# SNAPPING TURTLE (Byeol)
M 175219
D 173715
D 171967
D 170845
D 170642
D 172777
D 175362
D 175813
D 177474
D 178253
D 178345
D 177873
D 176638
D 175219
# 
# ROAD FOR EMPEROR (YeonDo)
M 194317
D 188947
D 186675
D 175865
# 
# THEWEAVER (JikNyeo)
M 173582
D 172167
D 173649
# 
# RIVER ADJOINING TOWER (JaamDae)
M 176437
D 174638
D 175588
D 180163
# 
# LEFT FLAG (JwaGi)
M 192425
D 190229
D 190406
D 189577
D 190211
D 189319
D 187076
D 185958
M 187076
D 185758
# 
# DRUM OF RIVER (HaGo)
M 188512
D 187642
D 186791
# 
# DRUMSTICK OF SKY (CheonBu)
M 190327
D 188310
D 187691
# 
# RIGHT FLAG (UuGi)
M 191692
D 187929
D 184930
D 182835
D 182640
D 184406
M 182640
D 185507
# 
# COWLEADING MAN (GyeonUu)
