    0 1 12 22.4 +58 05  8.4 M  40 
    0 3 03 47.0 +24 07  1.6 M  45 Pleiades 
    0 3 18 16.9 -18 29  4.6 M  24 
    0 8 15 06.5 +55 46  9.9 M 102 
  563 8  1 27.1 -18 38 14.0 
  564 8  1 27.8 -01 53 12.5 
  565 8  1 28.2 -01 18 15.0 
  566 8  1 29.0 +32 21 14.0 
  567 8  1 26.9 -10 15 14.0 
  568 8  1 27.9 -35 43      
  569 8  1 29.1 +11 09 14.0 
  570 8  1 29.0 -00 57 14.0 
  571 8  1 29.9 +32 31 15.0 
  572 8  1 28.6 -39 18      
  573 8  1 30.9 +41 16 13.0 
  574 8  1 29.0 -35 35      
  575 8  1 30.8 +21 26 14.0 
  576 8  1 28.9 -51 36      
  577 8  1 30.7 -01 59 14.0 
  578 8  1 30.5 -22 40 10.9 
  579 8  1 31.7 +33 38 13.0 
  581 3  1 33.2 +60 42  7.4 M 103
  582 8  1 31.9 +33 30 13.0 
  583 8  1 29.7 -18 19 15.0 
  584 8  1 31.3 -06 52 10.4 
  585 8  1 31.7 -00 55 14.0 
  586 8  1 31.6 -06 54 13.2 
  587 8  1 32.5 +35 22 13.0 
  588 5  1 32.7 +30 40      
  589 8  1 32.6 -12 02 14.0 
  590 8  1 33.6 +44 56 14.0 
  591 8  1 33.5 +35 41 14.0 
  592 5  1 33.2 +30 39      
  593 8  1 32.3 -12 21 14.0 
  594 8  1 33.0 -16 32 14.0 
  595 5  1 33.5 +30 42      
  596 8  1 32.9 -07 02 10.9 
  597 8  1 32.2 -33 29      
  598 8  1 33.9 +30 39  5.7 M  33 Triangulum Galaxy
  599 8  1 32.8 -12 11 13.0 
  600 8  1 33.1 -07 19 12.4 
  602 5  1 29.6 -73 33      
  603 1  1 34.4 +30 11      
  604 5  1 34.5 +30 48      
  605 8  1 35.1 +41 16 14.0 
  606 8  1 34.9 +21 26 14.0 
  608 8  1 35.4 +33 41 14.0 
  609 3  1 37.2 +64 33 11.0 
  612 8  1 34.0 -36 30 13.2 
  613 8  1 34.3 -29 25 10.0 
  614 8  1 35.8 +33 42 14.0 
  615 8  1 35.1 -07 20 11.5 
  616 1  1 36.0 +33 46      
  617 8  1 33.9 -09 47 15.0 
  619 8  1 34.8 -36 28      
  620 8  1 37.0 +42 20 14.0 
  621 8  1 36.7 +35 32 14.0 
  622 8  1 36.0 +00 40 14.0 
  623 8  1 35.0 -36 29      
  624 8  1 35.7 -10 00 14.0 
  625 8  1 35.1 -41 26 12.0 
  626 8  1 35.2 -39 08      
  628 8  1 36.7 +15 47  9.2 M  74
  630 8  1 35.6 -39 21      
  631 8  1 36.8 +05 51 15.0 
  632 8  1 37.3 +05 53 13.0 
  633 8  1 36.4 -37 18      
  634 8  1 38.2 +35 23 14.0 
  636 8  1 39.1 -07 31 11.3 
  637 3  1 42.9 +64 00  8.2 
  638 8  1 39.6 +07 14 14.0 
  639 8  1 38.9 -29 55 15.0 
  640 8  1 39.3 -09 23 15.0 
  641 8  1 38.7 -42 31      
  642 8  1 39.0 -29 54 14.0 
  643 4  1 35.1 -75 33 13.0 
  644 8  1 38.9 -42 35      
  645 8  1 40.2 +05 44 14.0 
  646 8  1 37.4 -64 55      
  647 8  1 39.8 -09 13 14.0 
  648 8  1 38.7 -17 50 14.0 
  649 8  1 40.0 -09 14 15.0 
  650 6  1 42.3 +51 34 12.0 M  76 Little Dumbell Nebula
  651 6  1 42.3 +51 35 12.0 
  652 8  1 40.7 +07 59 14.0 
  653 8  1 42.4 +35 39 14.0 
  654 3  1 44.1 +61 53  6.5 
  655 8  1 42.0 -13 04 14.0 
  656 8  1 42.4 +26 09 13.0 
  657 3  1 43.7 +55 53      
  658 8  1 42.2 +12 35 14.0 
  659 3  1 44.2 +60 42  7.9 
  660 8  1 43.0 +13 38 10.8 
  661 8  1 44.2 +28 42 13.0 
  662 8  1 44.5 +37 41 14.3 
  663 3  1 46.0 +61 15  7.1 
  664 8  1 43.8 +04 14 14.0 
  665 8  1 44.8 +10 26 13.0 
  666 8  1 46.0 +34 23 13.0 
  667 8  1 45.1 -22 56      
  668 8  1 46.3 +36 27 14.0 
  669 8  1 47.2 +35 33 13.0 
  670 8  1 47.4 +27 53 12.1 
  671 8  1 46.9 +13 06 14.0 
  672 8  1 47.9 +27 26 10.8 
  673 8  1 48.4 +11 32 13.0 
  675 8  1 49.0 +13 02 15.0 
  676 8  1 49.0 +05 54 11.0 
  677 8  1 49.1 +13 02 14.0 
  678 8  1 49.4 +22 00 13.0 
  679 8  1 49.7 +35 47 12.4 
  680 8  1 49.8 +21 58 13.0 
  681 8  1 49.2 -10 26 11.8 
  682 8  1 49.0 -14 59 13.0 
  683 8  1 49.6 +11 41 15.0 
  684 8  1 50.2 +27 39 13.0 
  685 8  1 47.8 -52 47 12.0 
  686 8  1 49.0 -23 48 13.0 
  687 8  1 50.6 +36 21 13.0 
  688 8  1 50.8 +35 16 13.0 
  689 8  1 49.9 -27 28 15.0 
  690 8  1 47.8 -16 43 14.0 
  691 8  1 50.7 +21 46 12.0 
  692 8  1 48.7 -48 39      
  693 8  1 50.5 +06 09 14.0 
  694 8  1 51.0 +22 00 14.0 
  695 8  1 51.2 +22 35 14.0 
  696 8  1 49.4 -34 55      
  697 8  1 51.3 +22 21 13.0 
  698 8  1 49.6 -34 50      
  699 8  1 50.6 -12 03 14.0 
  700 8  1 52.2 +36 04 15.0 
  701 8  1 51.1 -09 42 12.2 
  702 8  1 51.3 -04 03 14.0 
  703 8  1 52.8 +36 09 15.0 
  704 8  1 52.7 +36 06 14.0 
  705 8  1 52.8 +36 08 14.0 
  706 8  1 51.8 +06 18 13.0 
  707 8  1 51.2 -08 30 14.0 
  708 8  1 52.8 +36 10 15.0 
  709 8  1 52.9 +36 13 15.0 
  710 8  1 53.0 +36 02 14.0 
  711 8  1 52.5 +17 30 14.0 
  712 8  1 53.2 +36 48 14.0 
  713 8  1 55.1 -09 05 15.0 
  714 8  1 53.6 +36 12 14.0 
  716 8  1 52.9 +12 32      
