050032.601+0.0016+033655.32+0.001 7.0A0 
081647.610-0.0011-090050.13-0.009 7.0A0 
114749.787-0.0045+494922.84+0.014 7.0A0 
180543.258-0.0006+120014.19+0.001 7.0A0 
200139.293+0.0017-001156.82-0.003 7.0A0 
203113.042+0.0000+111538.46-0.003 7.0A0 
211405.049+0.0001+581750.63-0.012 7.0A0 
001643.095-0.0018+363746.91-0.030 7.0A0 
071648.467-0.0011+243209.10-0.030 7.0A0 
132935.955-0.0045-475232.19-0.011 7.0A0 
141255.196-0.0009-404959.86-0.005 7.0A0 
144746.685-0.0055-395534.75-0.006 7.0A0 
184817.938-0.0005-393610.82-0.008 7.0A0 
185324.442-0.0016-371626.28-0.019 7.0A0 
185429.239+0.0017-452910.48+0.000 7.0A0 
194149.360+0.0007-365314.02+0.006 7.0A0 
203242.489+0.0035-283543.04-0.004 7.0A0 
170252.015-0.0056-500937.74-0.025 7.0A0 
101556.818-0.0040-553110.32+0.020 7.0A0 
062814.646-0.0006-771723.70+0.058 7.0A0 
105058.678-0.0013-595727.60-0.014 7.0A0 
111727.842-0.0009-590619.69+0.000 7.0A0 
150936.419-0.0072-684317.80-0.039 7.0A0 
162000.428-0.0034-643857.46-0.050 7.0A0 
172037.131-0.0005-592626.08-0.019 7.0A0 
050109.669+0.0034-742024.83+0.039 7.0A0 
074521.421-0.0022-392042.05+0.020 7.0A0 
081740.251-0.0012-294135.32+0.003 7.0A0 
090053.320-0.0014-240913.33+0.007 7.0A0 
091658.014-0.0006-450040.16+0.026 7.0A0 
093541.277-0.0041-441118.11+0.004 7.0A0 
094124.677-0.0018-332347.89-0.013 7.0A0 
094616.024-0.0019-333029.83-0.001 7.0A0 
100652.063-0.0017-510440.11+0.007 7.0A0 
104755.520-0.0023-521447.60-0.012 7.0A0 
110049.696-0.0024-520429.38+0.000 7.0A0 
110545.693-0.0034-472632.55-0.007 7.0A0 
113657.927-0.0028-385734.48-0.006 7.0A0 
122600.752-0.0100-493518.64+0.002 7.0A0 
124816.511-0.0020-444307.79-0.008 7.0A0 
125601.542-0.0030-312853.51+0.011 7.0A0 
125810.724-0.0031-470353.75-0.006 7.0A0 
131824.982-0.0021-454552.32-0.013 7.0A0 
133626.035+0.0000-422456.68-0.003 7.0A0 
134710.653-0.0027-521607.53+0.000 7.0A0 
145624.788+0.0024-444217.22-0.023 7.0A0 
155955.238+0.0010-332306.62-0.016 7.0A0 
161457.704-0.0020-393740.76-0.037 7.0A0 
171332.134-0.0013-471909.21-0.022 7.0A0 
174817.497+0.0023-471517.75+0.014 7.0A0 
182055.759+0.0010-331958.29+0.010 7.0A0 
200525.792+0.0014-343959.53-0.018 7.0A0 
210012.801+0.0025-341402.83-0.004 7.0A0 
041629.155+0.0001-385302.74-0.039 7.0A0 
064309.939+0.0007-282107.66+0.008 7.0A0 
070254.739+0.0015-243501.09-0.001 7.0A0 
071523.988-0.0003-420518.95-0.018 7.0A0 
072208.350+0.0004-323514.02+0.004 7.0A0 
081617.115-0.0359-863326.63+0.042 7.0A0 
101024.246-0.0028-642303.06+0.020 7.0A0 
104126.230-0.0036-560406.30+0.017 7.0A0 
012148.747-0.0069-662303.98-0.018 7.0A0 
121210.300-0.0065-632715.31-0.015 7.0A0 
125726.167-0.0070-675739.85-0.029 7.0A0 
135305.915-0.0116-731609.37-0.044 7.0A0 
163631.998-0.0052-670017.31-0.023 7.0A0 
164556.858-0.0061-613948.33-0.037 7.0A0 
165145.217-0.0040-734320.52-0.006 7.0A0 
170718.829-0.0032-761324.38-0.057 7.0A0 
235412.838+0.0034-593231.53+0.003 7.0A0 
035937.620+0.0051-562821.61+0.044 7.0A0 
054157.589+0.0003-625451.50-0.010 7.0A0 
093826.458-0.0001-573150.26+0.019 7.0A0 
185432.862+0.0003+203654.74-0.002 7.0A0 
063140.514+0.0002+054607.75-0.023 7.0A0 
170102.747+0.0026+163535.65-0.015 7.0A0 
102535.934-0.0048-193559.04-0.001 7.0A0 
064908.524-0.0010+231205.72-0.019 7.0A0 
172149.664+0.0000+234110.35-0.002 7.0A0 
003412.647-0.0008+540359.23-0.015 7.0A0 
032942.585+0.0018+164543.77-0.025 7.0A0p
061343.184+0.0000+414150.66+0.000 7.0A0p
163830.745-0.0031-390909.60-0.035 7.0A0p
035712.185+0.0012-243753.15+0.017 7.0A2 
043148.514+0.0019-240637.19-0.007 7.0A2 
130120.246+0.0009+380255.13+0.022 7.0A2 
082134.867-0.0020-084011.88+0.025 7.0A2 
082700.141+0.0003+071315.00-0.010 7.0A2 
083615.635+0.0015+423446.44-0.014 7.0A2 
091451.957-0.0002-013514.09-0.011 7.0A2 
092125.471+0.0031+401700.67-0.024 7.0A2 
102044.216-0.0035-052255.07-0.003 7.0A2 
102305.291-0.0032+351303.99-0.004 7.0A2 
011528.235-0.0017+202454.02-0.008 7.0A2 
112338.098-0.0035+170830.65-0.009 7.0A2 
113717.842-0.0013+061612.76+0.015 7.0A2 
114836.778-0.0009+284758.91-0.018 7.0A2 
142555.872-0.0022+005932.63-0.042 7.0A2 
144948.119-0.0011+102935.20-0.017 7.0A2 
151648.536+0.0008-130220.80+0.003 7.0A2 
153431.646-0.0024+044353.37+0.017 7.0A2 
154643.686+0.0018+094709.69+0.002 7.0A2 
160552.235-0.0014+095609.27+0.008 7.0A2 
160923.038-0.0016-130310.57-0.018 7.0A2 
165428.450-0.0016+702748.65-0.052 7.0A2 
001301.917+0.0008+495535.83+0.006 7.0A2 
172526.301-0.0022-084943.71-0.002 7.0A2 
181155.425-0.0005-053726.30+0.009 7.0A2 
183507.996+0.0013-165909.05-0.006 7.0A2 
184848.684-0.0018-183755.02+0.005 7.0A2 
021556.851-0.0023+791045.87+0.001 7.0A2 
201355.515+0.0041+390931.17+0.006 7.0A2 
201523.437+0.0020-053211.61+0.002 7.0A2 
204400.043+0.0004+212403.08+0.014 7.0A2 
205854.725+0.0020+461509.14-0.033 7.0A2 
211245.343-0.0017+023834.64-0.010 7.0A2 
215535.133+0.0021+345838.25+0.004 7.0A2 
235911.938-0.0030+533346.96-0.020 7.0A2 
030535.488+0.0015+364754.37-0.036 7.0A2 
030826.948+0.0009+511001.23-0.005 7.0A2 
033326.901+0.0020+653305.09-0.025 7.0A2 
033947.283+0.0038-064636.76+0.033 7.0A2 
002214.163-0.0019-051129.42-0.003 7.0A2 
