175901.60 -094624.1 -000010.3-000116.100021.4 03.3200.99K0 0            
030510.50 +385025.9 +000128.7-000106.600010.0 03.3201.53M3 0            
190656.44 -274011.3 -000050.8-000250.500027.1 03.3201.17K1 1            
041425.43 -622826.3 +000041.6+000049.700020.0 03.3300.92G7 0            
111414.44 +152547.1 -000059.0-000079.400018.4 03.33-0.00A2 0            Chertan : theta Leonis
074917.66 -245135.2 -000005.6-000000.700002.4 03.3401.22G6 0            Asmidiske : xi Puppis
015423.68 +634012.5 +000032.0-000018.700007.4 03.35-0.15B2 0            Navi : epsilon Cassiopeiae
052428.62 -022349.7 -000000.5-000003.200003.6 03.35-0.24B1 1 0.27   7.99
064517.43 +125345.8 -000115.2-000190.900057.0 03.3500.44F5 0            
083016.03 +604306.4 -000134.3-000107.700017.8 03.3500.86G4 0            Muscida : omicron Ursa Majoris
192529.75 +030652.5 +000253.1+000080.700065.0 03.3600.32F0 1            
152240.89 -444122.5 -000020.2-000020.100006.5 03.37-0.19B2 1            
084646.65 +062508.1 -000231.0-000040.200024.1 03.3800.69G0 1            
133441.75 -003545.4 -000278.9+000048.600044.5 03.3800.11A3 0            Heze : zeta Virginis
053508.28 +095603.0 -000001.0-000001.900003.1 03.39-0.16O. 1            
101705.01 -611956.4 -000024.2+000006.400004.4 03.3901.54K3 0            
125536.48 +032351.4 -000471.4-000052.800016.1 03.3901.57M3 0            Auva : delta Virginis
221051.26 +581204.5 +000013.3+000004.500004.5 03.3901.56K1 0            
042839.67 +155215.4 +000108.7-000026.400021.9 03.4000.18A7 0            
040040.82 +122925.4 -000008.2-000012.000008.8 03.41-0.10B3 0 0.10   0.00
134930.30 -414115.6 -000026.0-000020.400006.9 03.41-0.23B2 0 0.03   2.62
151217.20 -520556.7 -000113.9-000071.000028.1 03.4100.92G8 0            
204517.27 +615012.5 +000086.1+000817.900069.7 03.4100.91K0 0            
224127.67 +104953.0 +000077.4-000011.000015.6 03.41-0.09B8 0            Homan : zeta Pegasi
012821.94 -431903.8 -000018.2-000207.700013.9 03.4101.54K5 1 0.09  97.50
015304.90 +293445.8 +000012.0-000233.700050.9 03.4200.49F6 0 0.02   0.87Mothallah : alpha Trianguli
160007.34 -382347.9 -000016.6-000027.100006.6 03.42-0.21B2 0            
174627.72 +274321.0 -000291.4-000750.000119.0 03.4200.75G5 0            
204457.56 -661211.7 -000042.4+000010.600023.7 03.4200.16A5 0            
091058.11 -585800.9 -000017.7+000014.100007.8 03.43-0.19B2 1            
101641.40 +232502.4 +000019.8-000007.300012.6 03.4300.31F0 0            Adhafera : zeta Leonis
190614.95 -045256.4 -000019.7-000090.400026.1 03.43-0.10B9 0            Al Thalimain : lambda Aquilae
101705.93 +425452.1 -000170.1-000042.600024.3 03.4500.03A2 1            Tania Borealis : lambda Ursa Majoris
004905.10 +574859.6 +001087.1-000559.600168.0 03.4600.59G0 1            
075646.74 -525856.6 -000028.4+000016.800008.4 03.46-0.18B3 1            
151530.10 +331854.4 +000084.8-000110.600027.9 03.4600.96G8 0            
010835.26 -101054.9 +000215.8-000138.300027.7 03.4601.16K2 0            
024318.12 +031410.2 -000146.4-000145.300039.8 03.4700.09A3 1            
134937.01 -422825.3 -000023.9-000019.200006.2 03.47-0.17B2 0            
100719.95 +164545.6 -000001.9-000000.500001.5 03.48-0.03A0 0            
164253.74 +385520.9 +000035.6-000085.000029.1 03.4800.92G8 0            
014405.13 -155622.4 -001721.8+000854.100274.2 03.4900.73G8 0            
150156.79 +402326.3 -000040.2-000029.200014.9 03.4900.96G8 0            Nekkar : beta Bootis
182658.43 -455806.0 -000016.7-000053.300013.1 03.49-0.18B3 0            
224833.20 -511900.1 +000108.5-000065.900025.2 03.4900.08A3 0            
070143.15 -275605.4 -000006.0+000004.600002.7 03.4901.73K4 0            
111828.76 +330539.3 -000026.6+000027.500007.7 03.4901.40K3 0            Alula Borealis : nu Ursa Majoris
064950.47 -323030.6 -000009.2+000004.000004.1 03.50-0.12B1 0            
072007.39 +215856.4 -000018.7-000007.800055.5 03.5000.37F0 1            Wasat : delta Geminorium
224940.91 +661202.6 -000066.1-000124.700028.3 03.5001.05K0 0            
225000.10 +243606.1 +000144.1-000043.400027.9 03.5100.93M2 0            Sadalbari : mu Pegasi
195845.39 +192931.5 +000064.4+000022.600011.9 03.5101.57K5 0            
034314.96 -094554.7 -000091.7+000742.200110.6 03.5200.92K0 0            Rana : delta Eridani
094109.12 +095332.6 -000143.7-000037.500024.1 03.5200.52A5 0            
095651.75 -543404.1 -000013.1+000002.800001.7 03.52-0.07B5 0            Tseen Ke : phi Velorum
185004.79 +332145.6 +000001.1-000004.500003.7 03.5200.00A8 0 0.93  12.94Sheliak : beta Lyrae
221011.82 +061152.0 +000282.0+000031.200033.8 03.5200.09A2 1            Baham : theta Pegasi
185743.78 -210623.8 +000034.9-000012.300008.8 03.5201.15G8 1            
