I1723 014314.1 +085320 13.9  8   3.3   0.8  29   6332 UGC 1205              
I1724 014309.5 -341432 14.1  8   1.3   0.5 126   6328 ESO 353-35            
I1725 014511.9 +214636 15.3  8   0.3   0.3   0   6432 ZWG 460.22            
I1726 014519.6 +043709 14.6  8   0.3   0.2  24   6441 ZWG 412.25            
I1727 014730.0 +271957 12.0  8   5.7   2.4 150   6574 UGC 1249              
I1728 014744.4 -333606 14.1  8   1.3   0.8   3   6584 ESO 353-47            
I1729 014755.2 -265331 13.5  8   1.6   0.9 150   6598 ESO 477-4             
I1730 014957.9 +220046 15.4  8   0.8   0.5  65   6732 MCG 4-5-15A           
I1731 015012.5 +271146 14.1  8   1.5   1.0 140   6756 UGC 1291              
I1732 015048.0 +355559 15.0  8   1.5   0.4  62   6805 UGC 1307              
I1733 015042.9 +330456 14.3  8   1.2   1.0  50   6796 UGC 1301              
I1734 014916.8 -324436 13.4  8   1.6   1.4  28   6679 ESO 353-48            
I1735 015051.8 +330531 16.0  8   0.5   0.3 149   6812 6ZW 63                
I1736 015053.2 +181809 14.9  8   1.1   0.4 120   6814 UGC 1309              
I1737 015141.5 +361508       1   0.0   0.0   0                              
I1738 015107.7 -094735 15.3  8   0.9   0.7  80   6832 MCG -2-5-61           
I1739 015029.3 -340320 14.9  8   0.8   0.5  94   6777 ESO 354-1             
I1740 015116.6 -295638       0   0.0   0.0   0                              
I1741 015156.7 -164715 15.1  8   0.8   0.4 171   6900 MCG -3-5-23           
I1742 015314.3 +224316 15.1  8   0.8   0.5  36   6996 MCG 4-5-23            
I1743 015259.5 +124230 13.9  8   1.8   0.8  57   6982 NGC 716               
I1744 015338.8 +195027 14.5  8   1.4   1.1 150   7019 NGC 719               
I1745 015259.0 -164009 16.2  8   0.5   0.3 130 174317 NPM1G -16.0071        
I1746 015424.2 +044813 14.9  8   1.4   0.5  93   7076 UGC 1371              
I1747 015735.8 +631922 13.6  6   0.3   0.0   0        PK 130+1.1            
I1748 015608.8 +173828 14.6  8   1.0   0.7 130   7229 UGC 1403              
I1749 015611.0 +064444 14.6  8   0.9   0.7 149   7235 UGC 1407              
I1750 015618.7 +040435 15.5  8   0.9   0.2  64   7266 UGC 1412              
I1751 015620.9 +053743 12.3  8   3.0   2.9  90   7252 NGC 741               
I1752 015715.4 +283651 16.3  8   0.3   0.2 110   7337 MCG 5-5-32            
I1753 015719.3 +283522 15.0  8   0.4   0.4   0   7353 MCG 5-5-33            
I1754 015649.8 +040134 15.2  8   0.8   0.8   0   7307 UGC 1424              
I1755 015709.8 +143259 14.8  8   1.4   0.3 154   7341 UGC 1428              
I1756 015705.2 -002806 15.4  8   1.4   0.2 155   7328 UGC 1429              
I1757 015711.5 -002825 16.5  8   0.6   0.2  60 174458                       
I1758 015652.5 -163230 16.0  8   0.6   0.2  45 170024                       
I1759 015755.5 -325914 13.8  8   1.5   1.4 169   7400 IC 1760               
I1760 015755.5 -325914 13.8  8   1.5   1.4 169   7400 IC 1759               
I1761 015852.2 +003408 15.3  8   0.9   0.5  45   7484 ZWG 387.19            
I1762 015748.6 -331423 14.4  8   1.8   0.4  43   7393 ESO 354-17            
I1763 015911.5 -274841 14.7  8   1.0   0.8  32   7514 ESO 414-20            
I1764 020023.3 +243447 14.2  8   1.2   0.8 174   7603 UGC 1486              
I1765 020106.6 +315255 12.9  8   1.6   1.4  35   7657 NGC 783               
I1766 020105.4 +314512 17.3  8   0.4   0.4   0   7655 MCG 5-5-43            
I1767 015959.4 -110443 14.5  8   1.8   0.7  75   7568 MCG -2-6-12           
I1768 020049.8 -250135 14.0  8   0.7   0.7   0   7636 MCG -4-5-26           
I1769 020054.8 -315514 15.5  8   0.8   0.2  77   7645 ESO 414-21            
I1770 020214.4 +095851 14.9  8   1.0   0.7  63   7751 UGC 1522              
I1771 020215.8 +095807 15.3  8   0.5   0.5   0   7737 MCG 2-6-14            
I1772 020242.8 +074444 14.6  8   0.7   0.7   0   7781 MCG 1-6-33            
I1773 020402.2 +304957 14.7  8   1.4   0.3   7   7873 NGC 804               
I1774 020359.0 +151904 14.7  8   1.6   1.2 140   7863 UGC 1559              
I1775 020517.5 +133020 16.3  8   0.7   0.7   0   7958 MCG 2-6-23            
I1776 020515.1 +060620 14.0  8   1.3   1.1 159   7952 UGC 1579              
I1777 020608.6 +151236 15.6  8   0.7   0.7   0   8021 MCG 2-6-29            
I1778 020619.4 +091338 15.0  8   1.4   0.8  25   8026 IC 199                
I1779 020625.9 +034223 14.8  8   0.4   0.3 100   8039 ZWG 387.35            
I1780 020651.1 +144320 15.8  8   0.7   0.3   9   8070 MCG 2-6-32            
I1781 020652.8 -003105 15.3  8   0.4   0.4   0   8067 ZWG 387.37            
I1782 020720.0 -252630 13.8  8   1.7   1.3 102   8093 NGC 823               
I1783 021006.0 -325623 13.2  8   2.0   0.8   3   8279 ESO 354-46            
I1784 021612.8 +323857 14.1  8   1.4   0.7  88   8676 UGC 1744              
I1785 021621.0 +324001 15.7  8   0.9   0.4 144   8682 MCG 5-6-21            
I1786 021605.5 +050846 15.2  8   0.4   0.2 160   8662 ZWG 413.67            
I1787 021610.6 -115532 14.3  8   2.2   0.5  39   8673 IC 217                
I1788 021550.2 -311204 12.5  8   2.6   1.1  27   8649 ESO 415-15            
I1789 021751.3 +322344 14.7  8   2.2   0.4  27   8766 UGC 1763              
I1790 021737.9 +123033 15.6  8   1.0   0.3  65   8752 UGC 1762              
I1791 021741.3 +122813 14.4  8   1.0   1.0   0   8758 UGC 1764              
I1792 021901.1 +342742 14.7  8   1.1   0.7  33   8839 UGC 1781              
I1793 022132.2 +323239 14.8  8   1.5   0.5  34   8969 UGC 1816              
I1794 022130.1 +154544 15.2  8   0.9   0.7 108   8963 MCG 3-7-3             
I1795 022630.0 +620400       5  40.0  15.0   0        LBN 645               
I1796 022247.3 -412215 14.2  8   1.1   0.9  86   9041 ESO 298-38            
I1797 022527.9 +202344 15.4  8   0.7   0.2 138   9205 UGC 1880              
I1798 022615.5 +132551 16.5  8   0.3   0.3   0                              
I1799 022845.8 +455816 14.7  8   1.1   0.4  34   9432 UGC 1943              
I1800 022831.4 +312448       1   0.0   0.0   0                              
I1801 022812.9 +193459 14.6  8   1.6   0.6  40   9392 UGC 1936              
I1802 022913.9 +230500 14.6  8   1.3   1.1 115   9462 MCG 4-6-57            
I1803 022917.2 +230827 16.0  8   0.3   0.2   0   9462                       
I1804 022917.0 +230512 16.0  8   0.3   0.1  40                              
I1805 023241.4 +612725       3  20.0   0.0   0        OCL 352               
I1806 022934.9 +225638 16.1  8   0.7   0.5 135  95515 NPM1G +22.0100        
I1807 023030.9 +225701 15.7  8   0.4   0.4   0   9547 MCG 4-6-62            
I1808 023031.1 -041256 14.5  4   0.7   0.7   0   9545 NGC 963               
I1809 023140.5 +225503 14.9  8   0.9   0.7 128   9616 UGC 1996              
I1810 022926.6 -430436 14.2  8   1.3   1.0 122   9477 ESO 246-18            
I1811 023038.0 -341553 14.3  8   1.3   0.9   7   9555 ESO 355-20            
I1812 022931.8 -424841 13.2  8   2.0   1.6  24   9486 ESO 246-19            
I1813 023049.6 -341318 14.2  8   1.2   0.8 102   9567 ESO 355-22            
I1814 023105.7 -360205 13.5  8   2.1   0.5  31   9582 NGC 964               
I1815 023419.9 +322548 14.3  8   1.4   1.1 141   9794 UGC 2047              
I1816 023151.0 -364020 13.9  8   1.4   1.2 167   9634 ESO 355-25            
I1817 023349.5 +111212 15.3  8   0.4   0.2  10   9757 MCG 2-7-14            
I1817 023350.8 +111210 16.5  8   0.7   0.4 160   9764 MCG 2-7-15            
I1818 023407.1 -110225 15.4  8   0.5   0.5   0        NPM1G -11.0094        
I1819 023541.8 +040308 14.7  8   1.6   0.6  36   9858 ZWG 414.23            
I1820 023552.7 +060227 15.1  8   0.5   0.2  70   9866 ZWG 414.24            
I1821 023625.3 +134650 15.1  8   0.6   0.4  90   9898 ZWG 439.20            
I1821 023626.6 +134647 17.3  8   0.3   0.2   0        ZWG 439.20            
I1822 023542.3 -083344       1   0.0   0.0   0                              
I1823 023836.9 +320413 14.5  8   2.1   2.0  72  10013 UGC 2125              
I1824 024118.0 +613702       3   9.0   0.0   0                              
I1825 023855.5 +090549 14.7  8   1.2   0.8  15  10031 UGC 2138              
I1826 023903.7 -272635 13.7  8   1.7   1.4 137  10041 IC 1830               
I1827 023946.4 +013330 14.6  8   1.1   0.2 154  10087 UGC 2152              
I1828 024029.0 +191749 13.7  8   1.5   1.1   2  10127 NGC 1036              
I1829 024032.8 +141753 15.6  8   0.8   0.8   0  10131 ZWG 439.26            
I1830 023903.7 -272635 13.7  8   1.7   1.4 137  10041 IC 1826               
I1831 024300.0 +631300       5 120.0   0.0   0        CED 8                 
I1832 024157.6 +190150 15.3  8   0.7   0.6  30  10216 MCG 3-7-45            
I1833 024138.6 -281018 14.1  8   1.5   0.8  61  10205 ESO 416-7             
I1834 024248.0 +030502 15.0  8   0.9   0.8 156  10267 UGC 2189              
I1835 024349.0 +145322 15.4  8   0.5   0.5   0  10342 ZWG 439.27            
I1835 024348.6 +145313 16.5  8   0.3   0.2  25        ZWG 439.27            
I1836 024323.3 +030618 16.3  8   0.5   0.5   0  10306 MCG 0-7-87            
I1837 024331.3 +001825 14.2  8   1.5   0.5  11  10315 NGC 1072              
I1838 024443.0 +192718 15.3  8   0.5   0.3   0  10389 MCG 3-8-2             
I1838 024443.0 +192732 17.0  8   0.2   0.1   0        MCG 3-8-2             
I1839 024443.0 +151422 15.1  8   1.0   0.5  97  10394 UGC 2220              
I1840 024341.9 -154221 15.1  8   0.7   0.7   0  10333 NGC 1105              
I1841 024536.3 +185545 15.1  8   0.7   0.5  51  10442 ZWG 463.7             
