#full_name,epoch_mjd,q,a,e,i,w,om,ma,tp_cal,orbit_id,H,G,neo,M1,M2,diameter,extent,albedo,rot_per,per_y,moid,class
"  2711 Aleksandrov (1978 QB2)",55600,2.7036677,3.0039958,0.0999762,10.28122,204.25867,157.85425,66.13021,20100223.6628167,MPO183459,11.5,,N,,,,,,,5.2066356599589,,MBA
"  2713 Luxembourg (1938 EA)",55600,2.7829251,2.8552236,0.0253215,1.35166,293.07064,339.73792,283.41005,20120217.9107634,MPO47591,11.5,,N,,,,,,3.579,4.8246787258042,,MBA
"  2715 Mielikki (1938 US)",55600,2.3153103,2.7356303,0.1536465,6.74977,144.40622,200.68686,36.35922,20100825.0845309,MPO104057,11.90,,N,,,13.09,,0.1791,,4.5247470499658,,MBA
"  2718 Handley (1951 OM)",55600,2.6395390,3.1184599,0.1535761,1.50033,261.23373,45.12451,307.91120,20111126.0385550,MPO101859,11.70,,N,,,25.97,,0.0547,,5.5070427665982,,MBA
"  2724 Orlov (1978 RZ5)",55600,2.5614110,2.9242649,0.1240838,3.97772,142.73957,153.72485,237.59728,20121021.0292682,MPO97223,11.70,,N,,,19.74,,0.0947,,5.0007284925394,,MBA
"  2725 David Bender (1978 VG3)",55600,2.5894038,3.0359673,0.1470910,15.53382,27.15267,61.64789,19.46477,20101026.5301792,MPO47591,10.40,,N,,,40.14,,0.0759,9.956,5.2899778009582,,MBA
"  2729 Urumqi (1979 UA2)",55600,2.6879204,2.8883698,0.0693988,3.17038,263.55989,64.20624,185.16211,20130627.7844650,MPO186489,11.40,,N,,,18.96,,0.1353,3.127,4.9089362488706,,MBA
"  2730 Barks (1981 QH)",55600,2.3595623,2.7201130,0.1325499,6.42424,272.04791,4.83685,264.50449,20120417.6696328,MPO141718,11.6,,N,,,,,,,4.4863032271047,,MBA
"  2731 Cucula (1982 KJ)",55600,2.5658217,3.1823376,0.1937305,13.24620,129.42396,151.31263,347.98869,20110418.1840023,MPO167516,10.70,,N,,,50.88,,0.0358,,5.6771135789185,,MBA
"  2734 Hasek (1976 GJ3)",55600,3.0913474,3.1592385,0.0214897,16.57075,145.42337,37.22296,91.64629,20090903.8630316,MPO169563,11.40,,N,,,22.54,,0.0958,,5.6154146505133,,MBA
"  2737 Kotka (1938 DU)",55600,2.2136788,2.7473853,0.1942598,8.82354,105.59755,339.51603,69.00441,20100326.1751797,MPO137873,11.9,,N,,,,,,12.157,4.5539426053388,,MBA
"  2740 Tsoj (1974 SY4)",55600,2.7986126,3.0059214,0.0689668,9.37352,98.77899,197.90950,80.40866,20091209.8274853,MPO43316,11.7,,N,,,21.4,,0.0805,,5.2116426948665,,MBA
"  2747 Cesky Krumlov (1980 DW)",55600,2.7061081,3.0998959,0.1270326,5.81950,302.95123,344.94338,108.67274,20090616.2207453,MPO157262,11.60,,N,,,32.63,,0.0380,,5.4579414327173,,MBA
