N6854 200538.6 -542230 13.3  8   2.0   1.3 166  64080 ESO 185-61            
N6855 200649.7 -562323 13.8  8   1.5   1.3 113  64116 ESO 185-63            
N6856 195917.1 +560753       3   3.0   0.0   0                              
N6857 200148.0 +333130 11.4  5   0.6   0.0   0        PK 70+1.2             
N6858 200254.0 +111532       3   5.0   0.0   0                              
N6859 200349.1 +002638       1   0.0   0.0   0                              
N6860 200847.1 -610559 13.7  8   1.3   0.8  34  64166 ESO 143-9             
N6861 200719.4 -482210 12.1  8   3.0   2.0 140  64136 IC 4949               
N6861A200548.9 -475837 14.9  8   1.3   0.6  54  64086 NGC 6851A             
N6861B200605.5 -482828 15.1  8   1.2   0.3  98  64094 ESO 233-26            
N6861C200641.3 -483857 15.1  8   1.2   0.5  35  64107 ESO 233-31            
N6861D200819.3 -481243 13.5  8   2.1   0.7 154  64153 ESO 233-34            
N6861E201101.4 -484126 15.1  8   1.4   0.3  39  64216 ESO 233-42            
N6861F201111.7 -481632 15.3  8   1.6   0.3  86  64219 ESO 233-43            
N6862 200854.5 -562330 13.5  8   1.6   1.3 149  64168 ESO 186-2             
N6863 200507.3 -033316       3   0.0   0.0   0                              
N6864 200604.8 -215515       4   6.8   0.0   0                        M  75 
N6865 200556.4 -090226 16.0  8   0.8   0.6 130  64089                       
N6866 200355.1 +440933  7.6  3   7.0   0.0   0        OCL 183               
N6867 201030.0 -544703 13.9  8   2.0   0.7 156  64203 ESO 186-6             
N6868 200954.0 -482248 11.6  8   3.6   2.8  86  64192 ESO 233-39            
N6869 200042.3 +661341 13.1  8   1.6   1.3  90  63972 UGC 11506             
N6870 201010.4 -481712 13.2  8   2.6   1.3  85  64197 ESO 233-41            
N6871 200559.0 +354638       3  30.0   0.0   0        OCL 148               
N6872 201657.0 -704604 12.5  8   6.0   1.5  66  64413 ESO 73-32             
N6873 200713.0 +210608       3   0.0   0.0   0                              
N6874 200733.0 +381450       3   0.0   0.0   0                              
N6875 201312.3 -460941 13.0  8   2.4   1.4  22  64296 ESO 284-28            
N6875A201155.9 -460835 14.0  8   2.7   0.4  75  64240 ESO 284-24            
N6876 201819.1 -705130 11.7  8   2.7   2.4  80  64447 ESO 73-35             
N6876A201117.1 -710046 14.8  8   1.2   0.3 178  64222 IC 4945               
N6877 201835.9 -705110 13.2  8   1.1   0.6 169  64457 ESO 73-36             
N6878 201353.2 -443136 13.4  8   1.6   1.3 111  64317 ESO 284-31            
N6878A201336.1 -444859 13.8  8   1.8   0.8  68  64314 ESO 284-29            
N6879 201026.6 +165525 13.0  6   0.1   0.0   0        PK 57-8.1             
N6880 201929.6 -705134 13.2  8   2.0   0.9  35  64479 ESO 73-37             
N6881 201052.5 +372444 14.3  6   0.3   0.0   0        PK 74+2.1             
N6882 201158.0 +262900       3  20.0   0.0   0        NGC 6885              
N6883 201118.0 +355100       3  35.0   0.0   0        OCL 148               
N6884 201023.7 +462742 12.6  6   0.2   0.0   0        PK 82+7.1             
N6885 201158.0 +262900       3  20.0   0.0   0        NGC 6882              
N6886 201242.8 +195924 12.2  6   0.2   0.0   0        PK 60-7.2             
N6887 201717.0 -524750 12.8  8   3.2   1.3 102  64427 ESO 186-27            
N6888 201206.5 +382118 10.0  5  18.0  13.0   0        LBN 203               Crescent Nebula 
N6889 201853.3 -535724 13.7  8   0.9   0.7  63  64464 ESO 186-29            
N6890 201818.0 -444823 13.0  8   1.6   1.3 152  64446 ESO 284-54            
N6891 201508.9 +124217 11.7  6   0.3   0.0   0        PK 54-12.1            
N6892 201657.1 +180112       1   0.0   0.0   0        IC 1312               
N6893 202049.6 -481422 12.7  8   2.6   1.7  10  64507 ESO 234-6             
N6894 201624.0 +303357 14.4  6   0.9   0.0   0        PK 69-2.1             
N6895 201629.0 +501348       0   0.0   0.0   0                              
N6896 201803.6 +303826       1   0.0   0.0   0                              
N6897 202101.3 -121518 14.8  8   0.9   0.5  35  64513 MCG -2-52-1           
N6898 202108.0 -122132 14.5  8   1.2   0.7 140  64517 MCG -2-52-2           
N6899 202422.3 -502601 13.4  8   1.7   1.0 112  64630 ESO 234-22            
N6900 202135.1 -023411 14.3  8   1.0   0.8 178  64530 MCG 0-52-1            
N6901 202221.6 +062547 14.8  8   1.4   0.5  63  64552 IC 5000               
N6902 202427.9 -433911 11.8  8   5.6   3.9 153  64632 IC 4948               
N6902A202300.4 -441614 14.4  8   1.3   1.0  48  64575 ESO 285-4             
N6902A202258.8 -441622 15.8  8   0.6   0.5   0  64576 ESO 285-4A            
N6902B202306.8 -435208 14.1  8   1.5   1.2  99  64580 ESO 285-5             
N6903 202344.9 -191933 12.9  8   1.5   1.5   0  64607 ESO 596-29            
N6904 202148.0 +254432       3   3.0   0.0   0                              
N6905 202223.0 +200618 11.9  6   1.2   0.0   0        PK 61-9.1             Blue Flash Nebula           
N6906 202334.0 +062640 13.2  8   1.6   0.8  36  64601 UGC 11548             
N6907 202506.6 -244833 11.9  8   3.4   2.6  46  64650 ESO 528-3             
N6908 202509.0 -244810 15.5  8   0.3   0.1   0                              
N6909 202738.8 -470138 12.6  8   2.2   1.1  68  64725 ESO 285-12            
N6910 202312.0 +404643       3  10.0   0.0   0        OCL 181               
N6911 201938.3 +664344 15.3  8   1.7   1.1 115  64485 UGC 11540             
N6912 202652.1 -183703 14.3  8   1.4   1.1  55  64700 ESO 596-38            
N6913 202358.0 +382954       3  10.0   0.0   0                        M  29 
N6914 202443.0 +422900       5   3.0   3.0   0        LBN 274               
N6915 202746.0 -030436 13.1  8   1.5   0.9  80  64729 IRAS20251-0314        
N6916 202333.1 +582039 14.9  8   1.8   1.2  90  64600 UGC 11554             
N6917 202728.4 +080550 14.1  8   1.4   1.0  40  64715 UGC 11563             
N6918 203046.9 -472827 14.5  8   0.9   0.7 178  64851 ESO 234-40            
N6919 203138.0 -441300 13.6  8   1.6   1.2 145  64883 ESO 285-27            
N6920 204357.1 -800001 12.5  8   1.8   1.5 142  65273 ESO 26-4              
N6921 202828.9 +254326 14.4  8   0.9   0.2 141  64768 UGC 11570             
N6922 202952.8 -021130 14.1  8   1.3   1.0 150  64814 UGC 11574             
N6923 203139.0 -304955 12.7  8   2.6   1.3  78  64884 ESO 462-29            
N6924 203319.1 -252828 13.6  8   2.0   1.7 154  64945 ESO 528-16            
N6925 203420.5 -315848 12.1  8   4.4   1.1   5  64980 ESO 463-4             
N6926 203305.9 -020144 13.2  8   2.0   1.4   0  64939 UGC 11588             
N6927 203238.1 +095501 15.8  8   0.5   0.2   5  64925 MCG 2-52-16           
N6927A203236.7 +095300 16.5  8   0.3   0.1  15  64924 MCG 2-52-15           
N6928 203250.1 +095539 13.3  8   2.1   0.6 106  64932 IC 1325               
N6929 203321.6 -020212 14.5  8   0.8   0.7  77  64949 MCG 0-52-35           
N6930 203258.8 +095226 13.8  8   1.2   0.5   8  64935 IC 1326               
N6931 203341.4 -112208 14.5  8   1.0   0.4 125  64963 MCG -2-52-16          
N6932 204208.6 -733708 13.3  8   2.2   1.6 115  65219 ESO 47-8              
N6933 203338.2 +072316       1   0.0   0.0   0                              
N6934 203411.6 +072417       4   7.1   0.0   0        GCL 117               
N6935 203820.0 -520637 12.8  8   2.1   1.8   8  65112 ESO 234-59            
N6936 203556.3 -251648 13.8  8   1.8   1.0   4  65033 ESO 528-22            
N6937 203845.8 -520838 13.5  8   2.5   2.1  51  65125 ESO 234-60            
N6938 203442.0 +221302       3   8.0   0.0   0                              
N6939 203130.0 +603943       3  10.0   0.0   0        OCL 217               
N6940 203426.6 +281628       3  25.0   0.0   0        OCL 141               
N6941 203623.5 -043708 13.6  8   2.0   1.4 115  65054 MCG -1-52-10          
N6942 204037.9 -541808 12.6  8   2.1   1.6 150  65172 ESO 186-73            
N6943 204433.7 -684453 12.0  8   4.0   2.2 130  65295 ESO 74-6              
N6944 203823.8 +065949 14.8  8   1.5   0.6  57  65117 MCG 1-52-17           
N6944A203811.2 +065409 14.9  8   0.9   0.7  72  65108 MCG 1-52-16           
N6945 203900.5 -045820 14.4  8   1.6   0.8 126  65132 MCG -1-52-15          
N6946 203452.1 +600912  9.7  8  11.5   9.8  57  65001 UGC 11597             
N6947 204115.0 -322911 14.3  8   1.6   1.0  51  65193 ESO 401-3             
N6948 204328.9 -532126 13.8  8   2.2   1.0 115  65256 ESO 187-9             
N6949 203507.0 +644812 14.7  8   1.4   1.2   6  65010 UGC 11600             
N6950 204105.0 +163720       3   5.0   0.0   0                              
N6951 203714.0 +660621 11.8  8   3.9   3.2 170  65086 NGC 6952              
N6952 203714.0 +660621 11.8  8   3.9   3.2 170  65086 NGC 6951              
N6953 203746.0 +654556       3   1.5   0.0   0                              
N6954 204403.3 +031234 14.1  8   1.0   0.6  68  65279 UGC 11618             
N6955 204417.9 +023543 14.6  8   1.4   1.3  30  65287 UGC 11621             
N6956 204353.7 +123044 13.2  8   1.9   1.9   0  65269 UGC 11619             
N6957 204447.7 +023450 15.2  8   0.5   0.4 171  65302 ZWG 374.7             
N6958 204842.6 -375952 12.3  8   2.5   1.9 107  65436 ESO 341-15            
N6959 204707.2 +002549 14.8  8   0.6   0.3  57  65369 ZWG 374.13            
N6960 204542.0 +304300  7.0  7  70.0   6.0   0        LBN 191               Veil Nebula
N6961 204710.4 +002150 14.6  8   0.6   0.5 134  65372 ZWG 374.14            
N6962 204718.9 +001919 13.0  8   2.9   2.2  75  65375 UGC 11628             
N6963 204719.0 +003033       1   0.0   0.0   0                              
N6964 204724.2 +001805 13.9  8   1.7   1.3 168  65379 UGC 11629             
N6965 204720.5 +002903 15.0  8   0.6   0.4  66  65376 IC 5058               
N6966 204726.7 +002205       1   0.0   0.0   0                              
N6967 204734.0 +002444 14.4  8   0.9   0.6 105  65385 UGC 11630             
N6968 204832.4 -082135 14.3  8   1.5   1.1 144  65428 MCG -2-53-6           
N6969 204827.6 +074425 15.0  8   1.1   0.3  15  65425 UGC 11633             
N6970 205209.4 -484641 13.2  8   1.0   0.6 123  65608 ESO 235-8             
N6971 204923.7 +055943 14.6  8   1.1   0.9  60  65462 UGC 11637             
N6972 204958.9 +095359 14.1  8   1.1   0.5 143  65485 UGC 11640             
N6973 205206.0 -055339       1   0.0   0.0   0                              
N6974 205104.0 +314921       5   0.0   0.0   0                              
N6975 205225.9 -054617 14.8  8   0.8   0.7   5  65620 NGC 6976              
N6976 205225.9 -054617 14.8  8   0.8   0.7   5  65620 NGC 6975              
N6977 205229.6 -054445 14.1  8   1.3   0.9 162  65625 MCG -1-53-16          
N6978 205235.4 -054240 14.1  8   1.5   0.7 125  65631 MCG -1-53-17          
N6979 205100.0 +320900       5   7.0   3.0   0                              
N6980 205248.9 -055013       1   0.0   0.0   0                              
N6981 205327.9 -123211       4   6.6   0.0   0                        M  72 
N6982 205718.3 -515146 14.3  8   1.0   0.7  68  65776 ESO 235-19            
N6983 205643.5 -435910 14.2  8   0.8   0.6 147  65759 ESO 286-14            
N6984 205754.2 -515215 13.2  8   1.8   1.2 101  65798 ESO 235-20            
N6985 204503.0 -110615 14.7  8   1.5   0.8  90  65306 MCG -2-53-1           
N6985 204501.4 -110629 15.5  8   0.5   0.3  30        MCG -2-53-1           
N6986 205630.6 -183358 14.7  8   1.0   0.6   8  65750 ESO 598-7             
N6987 205810.4 -483748 13.5  8   1.4   1.2  92  65807 ESO 235-21            
N6988 205548.9 +103030 14.7  8   0.5   0.5   0  65732 ZWG 425.20            
N6989 205406.0 +451426       3   0.0   0.0   0                              
N6990 205957.0 -553343 14.0  8   1.2   0.5   0  65862 ESO 187-43            
N6991 205539.0 +472654       3   0.0   0.0   0                              
N6991 205456.4 +471838       3   0.0   0.0   0                              
N6992 205624.0 +314300  7.0  5  60.0   8.0   0        CED 182B              Veil Nebula 
N6993 205354.0 -252820 13.8  8   1.2   1.0 108  65671 ESO 529-11            
N6994 205856.0 -123807       3   1.4   0.0   0                        M  73 
N6995 205706.0 +311300  7.0  5  12.0  12.0   0        CED 182C              Veil Nebula  
N6996 205630.0 +452742       3   5.0   0.0   0        OCL 197               
N6997 205639.4 +443738       3   8.0   0.0   0                              
N6998 210137.7 -280154 15.2  8   0.6   0.6   0  65925 ESO 464-14            
N6999 210159.6 -280332 15.0  8   0.9   0.7 179  65940 ESO 464-15            
N7000 205850.0 +443100  4.0  5 120.0 100.0   0        LBN 373               North American Nebula 
N7001 210107.7 -001141 14.3  8   1.4   1.1 162  65905 UGC 11663             
N7002 210345.0 -490145 13.4  8   1.5   1.2   3  66009 ESO 235-43            
N7003 210042.3 +174817 13.8  8   1.1   0.8 120  65887 UGC 11662             
N7004 210402.0 -490651 14.0  8   1.3   0.6  73  66019 ESO 235-46            
N7005 210157.0 -125248       3   0.0   0.0   0                              
N7006 210129.5 +161117       4   3.6   0.0   0        GCL 119               
N7007 210527.8 -523307 12.9  8   2.0   1.2   2  66069 ESO 187-48            
N7008 210032.8 +543238 13.3  6   1.4   0.0   0        PK 93+5.2             
N7009 210410.8 -112147  8.3  6   0.6   0.0   0        PK 37-34.1            Saturn Nebula           
N7010 210439.4 -122016 14.0  8   1.9   1.0  36  66039 IC 5082               
N7011 210150.0 +472117       3   0.0   0.0   0                              
N7012 210645.5 -444852 13.7  8   2.4   1.3 115  66116 ESO 286-51            
N7013 210333.6 +295349 12.4  8   4.0   1.4 157  66003 UGC 11670             
N7014 210752.0 -471043 13.3  8   1.7   1.4 130  66153 ESO 286-57            
N7015 210537.3 +112449 13.2  8   1.8   1.6 165  66076 UGC 11674             
N7016 210716.2 -252807 14.7  8   0.8   0.8   0  66136 ESO 529-25            
N7017 210720.5 -252915 15.4  8   0.6   0.5  90  66137 ESO 529-26            
N7018 210725.4 -252545 14.5  8   1.3   0.8  86  66141 ESO 529-27            
N7019 210625.8 -242446 14.9  8   0.6   0.3 137  66107 ESO 529-22            
N7020 211119.9 -640131 12.7  8   3.5   1.6 165  66291 NGC 7021              
N7021 211119.9 -640131 12.7  8   3.5   1.6 165  66291 NGC 7020              
N7022 210935.1 -491813 14.0  8   1.5   1.1  16  66224 ESO 235-65            
N7023 210135.5 +681010  7.1  5  10.0   8.0   0        OCL 235               
N7024 210609.1 +412924       3   0.0   0.0   0                              
N7025 210747.4 +162009 13.8  8   1.9   1.2  33  66151 UGC 11681             
N7026 210618.6 +475110 12.7  6   0.8   0.0   0        PK 89+0.1             
N7027 210701.7 +421412 10.4  6   0.9   0.0   0        PK 84-3.1             
N7028 210815.0 +182848       0   0.0   0.0   0                              
N7029 211151.7 -491701 12.4  8   2.5   1.4  71  66318 ESO 235-72            
N7030 211113.3 -202912 14.5  8   0.9   0.7  70  66283 ESO 598-28            
N7031 210712.5 +505212       3  15.0   0.0   0        OCL 210               
N7032 211522.9 -681715 13.6  8   1.1   1.0  85  66427 ESO 74-26             
N7033 210936.2 +150731 15.2  8   0.8   0.5  23  66228 MCG 2-54-2            
N7034 210938.1 +150904 15.0  8   1.0   0.7 125  66227 UGC 11687             
N7035 211045.5 -230807 15.4  8   1.0   0.7 105  66258 ESO 530-15            
N7035A211047.3 -230814 15.6  8   0.6   0.4   5  66257 ESO 530-15A           
N7036 211012.0 +152236       1   0.0   0.0   0                              
N7037 211045.5 +334341       3   0.0   0.0   0                              
N7038 211507.5 -471313 12.7  8   3.1   1.4 127  66414 ESO 286-79            
N7038A211515.0 -473646 15.3  8   1.1   0.6  25  66421 ESO 235-80            
N7039 211048.0 +453720       3  15.0   0.0   0        OCL 203               
N7040 211316.5 +085154 14.9  8   0.9   0.8 150  66366 UGC 11701             
N7041 211632.1 -482147 12.1  8   3.6   1.5  85  66463 ESO 235-82            
N7041A211757.2 -482408 14.7  8   1.6   1.4  23  66519 ESO 235-84            
N7041B211749.6 -482326 15.9  8   0.5   0.3  75 129672                       
N7042 211345.7 +133430 12.8  8   2.0   1.8 140  66378 UGC 11702             
N7043 211404.2 +133735 14.7  8   1.3   1.0 135  66385 UGC 11704             
N7044 211309.4 +422946       3   7.0   0.0   0        OCL 198               
N7045 211450.3 +043028       1   0.0   0.0   0                              
N7046 211456.0 +025004 13.9  8   1.9   1.4 115  66407 UGC 11708             
N7047 211627.4 -004935 14.2  8   1.2   0.7 107  66461 UGC 11712             
N7048 211415.2 +461721 11.3  6   1.0   0.0   0        PK 88-1.1             
N7049 211900.2 -483341 11.6  8   4.5   3.0  57  66549 ESO 236-1             
N7050 211516.0 +361022       3   0.0   0.0   0                              
N7051 211951.3 -084657 13.9  8   1.4   1.1 162  66566 MCG -2-54-4           
N7052 211833.0 +262650 13.6  8   2.1   1.1  64  66537 UGC 11718             
N7053 212107.5 +230507 14.1  8   1.4   1.3  27  66610 UGC 11727             
N7054 212043.5 +391018       0   0.0   0.0   0                              
N7055 211930.0 +573547       3   4.0   0.0   0                              
N7056 212207.5 +183956 13.9  8   1.0   0.9  57  66641 UGC 11734             
N7057 212458.5 -422737 13.7  8   1.4   1.0 151  66708 ESO 287-17            
N7058 212102.0 +505002       3   0.0   0.0   0                              
N7059 212721.7 -600053 12.5  8   3.3   1.7  98  66784 ESO 145-5             
N7060 212553.5 -422439 13.7  8   2.0   1.2 120  66732 ESO 287-22            
N7061 212726.7 -490348 14.1  8   1.2   0.7 137  66785 ESO 236-13            
N7062 212327.4 +462243       3   5.0   0.0   0        OCL 205               
N7063 212422.0 +362900       3   9.0   0.0   0        OCL 192               
N7064 212903.2 -524602 12.9  8   3.8   0.7  91  66836 ESO 188-9             
N7065 212642.2 -065941 14.5  8   1.1   0.9  25  66766 MCG -1-54-17          
N7065A212657.8 -070116 14.4  8   1.0   0.9   6  66774 MCG -1-54-18          
N7066 212613.7 +141059 15.0  8   0.9   0.9   0  66747 UGC 11741             
N7067 212412.0 +480100       3   3.0   0.0   0        OCL 208               
N7068 212632.3 +121104 14.9  8   0.7   0.3 165  66765 MCG 2-54-27           
N7069 212805.8 -013847 14.5  8   1.3   0.8  20  66807 UGC 11747             
N7070 213025.2 -430512 12.8  8   2.4   1.9  22  66869 ESO 287-28            
N7070A213147.0 -425049 13.3  8   1.7   1.6 167  66909 ESO 287-34            
N7071 212640.0 +475522       3   0.0   0.0   0                              
N7072 213037.0 -430909 14.3  8   0.9   0.7  90  66874 ESO 287-31            
N7072A213025.6 -431208 14.4  8   0.8   0.6 125  66870 ESO 287-29            
N7073 212926.0 -112919 14.5  8   0.9   0.8   0  66847 MCG -2-54-10          
N7074 212938.8 +064056 15.5  8   0.7   0.3 111  66850 ZWG 401.27            
N7075 213132.9 -383705 13.8  8   1.2   0.9 116  66895 ESO 343-4             
N7076 212624.1 +625330 17.0  6   0.9   0.0   0        PK 101+08.1           
N7077 212959.5 +022453 14.0  8   0.8   0.7  37  66860 UGC 11755             
N7078 212958.3 +121003       4  18.0   0.0   0                        M  15 
N7079 213235.0 -440403 12.5  8   2.0   1.2  82  66934 ESO 287-36            
N7080 213001.9 +264306 13.2  8   1.8   1.7  50  66861 UGC 11756             
N7081 213124.3 +022928 13.6  8   1.3   1.3   0  66891 UGC 11759             
N7082 212917.0 +470736       3  24.0   0.0   0        OCL 209               
N7083 213544.6 -635412 11.9  8   3.9   2.3   5  67023 ESO 107-36            
N7084 213233.0 +173030       0   0.0   0.0   0                              
N7085 213225.1 +063454 15.3  8   1.2   0.7 147  66926 MCG 1-55-1            
N7086 213027.5 +513602       3  12.0   0.0   0        OCL 214               
N7087 213433.4 -404906 13.7  8   1.1   0.6  39  66988 ESO 343-8             
N7088 213322.0 -002300       0   0.0   0.0   0                              
N7089 213327.2 -004922       4  16.0   0.0   0                        M   2 
N7090 213627.7 -543318 11.4  8   7.3   1.2 127  67045 ESO 188-12            
N7091 213407.7 -363914 13.4  8   2.1   1.7  78  66972 IC 5114               
N7092 213157.0 +482515       3  31.0   0.0   0                        M  39 
N7093 213421.0 +455756       3   0.0   0.0   0                              
N7094 213653.0 +124722 13.6  6   1.6   0.0   0        PK 66-28.1            
N7095 215224.8 -813153 12.1  8   4.0   3.3   0  67546 ESO 27-1              
N7096 214119.1 -635430 12.8  8   1.8   1.6 130  67168 IC 5121               
N7096A213848.2 -642101 14.2  8   2.0   0.6 102  67093 IC 5120               
N7097 214012.8 -423221 12.6  8   1.8   1.2  20  67146 ESO 287-48            
N7097A214037.9 -422849 15.1  8   0.6   0.4 134  67160 ESO 287-49            
N7098 214416.0 -750639 12.2  8   4.0   2.6  74  67266 ESO 48-5              
N7099 214022.0 -231043       4  12.0   0.0   0                        M  30 
N7100 213906.9 +085702       1   0.0   0.0   0                              
N7101 213934.5 +085238 14.5  8   0.5   0.5   0  67118 MCG 1-55-7            
N7102 213944.5 +061709 13.7  8   1.6   0.9 153  67120 UGC 11786             
N7103 213951.3 -222824 15.3  8   1.4   1.2  63  67124 ESO 531-15            
N7104 214003.2 -222528 14.8  8   0.7   0.6  51  67137 ESO 531-18            
N7105 214141.3 -103806 14.3  8   1.0   0.5 130  67181 MCG -2-55-1           
N7106 214236.5 -524157 13.9  8   1.7   1.0  81  67215 ESO 188-17            
N7107 214226.5 -444731 13.2  8   2.1   1.5 128  67209 ESO 287-52            
N7108 214153.7 -064231 15.1  8   1.4   0.9  35  67189 NGC 7111              
N7109 214158.5 -342646 14.4  8   0.7   0.7   0  67192 ESO 403-15            
N7110 214212.0 -340946 14.3  8   1.3   0.6  76  67199 ESO 403-16            
N7111 214153.7 -064231 15.1  8   1.4   0.9  35  67189 NGC 7108              
N7112 214226.5 +123409 15.2  8   1.4   1.4   0  67208 NGC 7113              
N7113 214226.5 +123409 15.2  8   1.4   1.4   0  67208 NGC 7112              
N7114 214144.0 +425031       3   0.0   0.0   0                              
N7115 214339.2 -252104 13.5  8   1.7   0.4  66  67248 ESO 531-25            
N7116 214240.4 +285648 14.3  8   1.1   0.4 105  67218 UGC 11796             
N7117 214547.0 -482516 13.7  8   1.4   0.8  27  67303 ESO 236-40            
N7118 214609.8 -482112 13.5  8   1.4   1.1  50  67318 ESO 236-45            
N7119 214615.7 -463056 13.6  8   1.2   0.9 130  67325 NGC 7119A             
N7119 214614.9 -463111 13.7  8   0.6   0.3  22  67322 NGC 7119B             
N7119A214615.7 -463056 13.6  8   1.2   0.9 130  67325 NGC 7119-1            
N7119B214614.9 -463111 13.7  8   0.6   0.3  22  67322 NGC 7119-2            
N7120 214433.2 -063123 15.2  8   0.8   0.4 137  67273 MCG -1-55-6           
N7121 214452.6 -033711 14.6  8   1.1   0.6  12  67287 MCG -1-55-8           
N7122 214547.8 -084949       1   0.0   0.0   0                              
N7123 215046.4 -702002 12.6  8   3.0   1.1 146  67466 ESO 75-27             
N7124 214805.3 -503356 13.2  8   2.8   1.1 143  67375 ESO 237-2             
N7125 214916.2 -604245 12.5  8   3.0   2.1 110  67417 ESO 145-17            
N7126 214918.3 -603634 12.9  8   2.8   1.3  71  67418 ESO 145-18            
N7127 214342.0 +543748       3   6.0   0.0   0        OCL 219               
N7128 214357.7 +534255       3   4.0   0.0   0        OCL 218               
N7129 214258.9 +660647 11.5  5   7.0   7.0   0        OCL 240               
N7130 214819.3 -345710 13.0  8   1.6   1.5 105  67387 IC 5135               
N7131 214736.0 -131056 14.9  8   1.7   1.0 115  67359 MCG -2-55-2           
N7132 214716.4 +101429 14.9  8   1.1   0.7 114  67349 MCG 2-55-13           
N7133 214426.6 +661006       0   0.0   0.0   0                              
N7134 214856.0 -125813       3   0.0   0.0   0                              
N7135 214946.0 -345234 12.7  8   2.1   1.8  47  67425 ESO 403-35            
N7136 214943.3 -114734       1   0.0   0.0   0                              
N7137 214813.0 +220935 13.1  8   1.6   1.4  36  67379 UGC 11815             
N7138 214901.0 +123050 15.1  8   1.2   0.5 177  67406 UGC 11817             
N7139 214608.4 +634732 13.0  6   1.3   0.0   0        PK 104+7.1            
N7140 215215.1 -553411 12.5  8   4.1   3.0  18  67532 NGC 7141              
N7141 215215.1 -553411 12.5  8   4.1   3.0  18  67532 NGC 7140              
N7142 214509.4 +654628       3  12.0   0.0   0        OCL 241               
N7143 214853.9 +295726       1   0.0   0.0   0                              
N7144 215242.6 -481517 11.9  8   3.7   3.6   0  67557 ESO 237-11            
N7145 215320.5 -475257 12.1  8   2.5   2.3 173  67583 ESO 237-13            
N7146 215147.4 +030102 15.3  8   1.0   0.6  80  67508 MCG 0-55-24           
N7147 215158.3 +030420 14.5  8   1.0   0.9   5  67518 MCG 0-55-25           
N7148 215208.4 +032031       1   0.0   0.0   0                              
N7149 215211.6 +031806 14.2  8   1.3   0.9  25  67524 UGC 11835             
N7150 215023.0 +494522       3   0.0   0.0   0                              
N7151 215504.0 -503929 13.5  8   2.9   1.1  75  67634 ESO 237-15            
N7152 215359.0 -291721 14.4  8   1.2   0.6  17  67601 ESO 466-13            
N7153 215435.3 -290350 14.3  8   1.9   0.3  68  67624 ESO 466-16            
N7154 215521.1 -344850 12.9  8   2.2   1.8 102  67641 ESO 404-8             
N7155 215609.8 -493119 13.2  8   2.3   2.0   4  67663 IC 5143               
N7156 215433.5 +025632 13.2  8   1.7   1.4  96  67622 UGC 11843             
N7157 215656.7 -252103 15.0  8   1.1   0.5   5  67693 ESO 532-3             
N7158 215728.0 -113531       1   0.0   0.0   0                              
N7159 215625.6 +133347 15.2  8   0.6   0.5 168  67674 ZWG 428.3             
N7160 215340.2 +623612       3   5.0   0.0   0        OCL 236               
N7161 215657.9 +025500       1   0.0   0.0   0                              
N7162 215938.8 -431816 13.3  8   2.8   1.0  10  67795 ESO 288-26            
N7162A220035.7 -430830 13.3  8   2.6   2.2  70  67818 ESO 288-28            
N7163 215920.3 -315301 13.7  8   1.9   1.1 101  67785 ESO 466-30            
N7164 215623.5 +012152 15.6  8   0.7   0.5 118  67673 ZWG 377.6             
N7164 215624.5 +012146 16.0  8   0.3   0.2  90  67673 ZWG 377.6             
N7165 215926.1 -163046 14.5  8   0.9   0.8  67  67788 MCG -3-56-2           
N7166 220032.7 -432324 12.8  8   2.4   0.9  14  67817 ESO 288-27            
N7167 220030.8 -243759 12.9  8   1.7   1.3 145  67816 ESO 532-9             
N7168 220207.3 -514436 12.9  8   1.9   1.4  68  67882 ESO 237-26            
N7169 220248.7 -474151 14.5  8   1.0   0.5  78  67913 ESO 237-28            
N7170 220126.3 -052556 14.5  8   1.2   0.8 165  67848 AM 2148-554           
N7171 220101.9 -131611 13.0  8   2.6   1.5 125  67839 MCG -2-56-5           
N7172 220201.7 -315212 12.7  8   2.4   1.3 100  67874 ESO 466-38            
N7173 220203.1 -315823 12.9  8   1.2   0.9 143  67878 ESO 466-39            
N7174 220205.9 -315933 13.9  8   2.3   1.2  88  67881 ESO 466-40            
N7175 215846.9 +544913       3   0.0   0.0   0                              
N7176 220208.2 -315926 12.5  8   0.8   0.8   0  67883 ESO 466-41            
N7177 220041.2 +174414 12.0  8   3.2   2.1  93  67823 UGC 11872             
N7178 220225.1 -354727 14.8  8   1.1   0.5 172  67898 ESO 404-22            
N7179 220449.0 -640249 13.3  8   2.0   0.8  48  67995 ESO 108-11            
N7180 220218.5 -203252 13.6  8   1.5   0.7  68  67890 ESO 601-6             
N7181 220143.4 -015736 15.4  8   1.0   0.8  95  67859 ZWG 377.14            
N7182 220151.6 -021146 15.3  8   0.9   0.4  71  67864 MCG 0-56-6            
N7183 220221.2 -185456 12.9  8   3.8   1.1  77  67892 ESO 601-8             
N7184 220239.9 -204845 11.8  8   5.9   1.3  62  67904 ESO 601-9             
N7185 220256.6 -202817 13.2  8   2.3   1.5  15  67919 ESO 601-10            
N7186 220105.0 +350442       3   0.0   0.0   0                              
N7187 220244.4 -324812 13.4  8   1.3   1.2 171  67909 ESO 404-24            
N7188 220329.0 -201903 14.0  8   1.6   0.8  44  67943 ESO 601-11            
N7189 220315.9 +003417 14.3  8   1.0   0.7 115  67934 UGC 11882             
N7190 220306.6 +111159 14.8  8   0.9   0.5  66  67928 UGC 11885             
