Chula Vista                     California       32 38 35 N 117  4 58 W
Churchill                       Canada           58 46 12 N  94  5 24 W
Chuuk                           Micronesia        7 27 34 N 151 50 20 E
Cicero                          Illinois         41 51  0 N  87 44 42 W
Cincinnati                      Ohio             39  6  6 N  84 30 34 W
Circle                          Alaska           65 49 47 N 144  3 36 W
Circleville                     Ohio             39 34 58 N  83  0  0 W
Claremont                       New Hampshire    43 22 30 N  72 20 12 W
Clark                           New Jersey       40 45  0 N  74  0  0 W
Clarksburg                      West Virginia    39 16 48 N  80 20 53 W
Clarksdale                      Mississippi      34 11 53 N  90 34 30 W
Clarksville                     Tennessee        36 31 36 N  87 20 53 W
Claymont                        Delaware         39 48 17 N  75 27 11 W
Clear                           Alaska           64 19 47 N 149  9  0 W
Clearlake                       California       38 55 59 N 122 35 59 W
Clear Lake City                 Texas            29 31 48 N  95  4 40 W
Clearwater                      Florida          27 58  0 N  82 47 53 W
Cleveland                       Ohio             41 29 51 N  81 41 49 W
Cleveland                       Tennessee        35  9 29 N  84 52 36 W
Clifton                         New Jersey       40 52 59 N  74  8 48 W
Clinton                         Iowa             41 50 35 N  90 11 35 W
Clovis                          New Mexico       34 24  6 N 103 12 17 W
Cockburn Town                   Caicos Islands   21 26 59 N  71  9  0 W
Cockeysville                    Maryland         39 30  0 N  76 40  1 W
Cocos Island                    Australia        12 10 59 S  96 49 59 E
Cody                            Wyoming          44 31  1 N 109  1 58 W
Cold Bay                        Alaska           55 12  0 N 162 43 29 W
Cold Lake                       Canada           54 25 47 N 110 13 48 W
Collegedale                     Tennessee        35  2 49 N  85  3  3 W
College Park                    Maryland         38 59 12 N  76 56  6 W
Cologne                         Germany          50 55 59 N   6 57  0 E
Colombo                         Sri Lanka         6 58  0 N  79 51 59 E
Colon                           Panama            9 22  0 N  79 53 59 W
Colorado Springs                Colorado         38 50  7 N 104 49 15 W
Columbia                        Missouri         38 57  2 N  92 19 45 W
Columbia                        South Carolina   34  0  1 N  81  1 59 W
Columbia Station                Ohio             41 19  4 N  81 57 38 W
Columbia                        Tennessee        35 36 54 N  87  2 12 W
