 2293 CMA 06 47 42.8 -26 45 19 8 SB0- 12.1   4.00   3.2 125     19619                   
 2294 GEM 06 51 11.2 +33 31 35 8 E    14.9   0.80   0.4  10     19729                   
 2295 CMA 06 47 23.2 -26 44 12 8 Sab  13.6   2.10   0.6  46     19607                   
 2296 CMA 06 48 39.0 -16 54 06 5 RN   13.0   0.60   0.4 175     19643                   
 2297 PIC 06 44 24.5 -63 43 05 8 SBbc 13.4   1.40   1.2         19524  
 2298 PUP 06 48 59.2 -36 00 19 4 VI    9.3   6.80                             
 2299 MON 06 51 56.6 -07 05 04 3 II2p  8.9   2.50                                       
 2300 CEP 07 32 20.3 +85 42 31 8 E-S0 12.1   3.50   2.4  80     21231  3798             
 2301 MON 06 51 45.2 +00 27 33 3 I3m   6.0  12.00                             
 2302 MON 06 51 56.6 -07 05 04 3 II2p  8.9   2.50                                       
 2303 AUR 06 56 17.4 +45 29 34 8 E    13.9   1.50   1.5         19891  3603             
 2304 GEM 06 55 11.8 +17 59 19 3 II1p 10.0   5.00                             
 2305 VOL 06 48 37.3 -64 16 24 8 E    12.8   2.10   1.5 142     19641                   
 2306 MON 06 54 29.5 -07 12 15 3 OCL                                                    
 2307 VOL 06 48 51.0 -64 20 08 8 SBb  13.1   1.70   1.6         19648                   
 2308 LYN 06 58 37.5 +45 12 38 8 Sa-b 14.2   1.80   1.2 170     19949  3618             
 2309 MON 06 56 03.6 -07 10 28 3 II2m 10.5   3.00                             
 2310 PUP 06 53 53.8 -40 51 51 8 S0   12.7   4.30   0.8  47     19811                   
 2311 MON 06 57 47.5 -04 36 41 3 III2  9.6   7.00                             
 2312 MON 06 58 47.0 +10 17 42 0 *Grp        5.00   2.5                                 
 2313 MON 06 58 02.8 -07 56 42 5 DN                                           
 2314 CAM 07 10 31.8 +75 19 38 8 E    13.2   1.70   1.4  25     20305  3677        
 2315 LYN 07 02 33.0 +50 35 25 8 S0-a 14.5   1.30   0.3 116     20045  3633             
 2316 MON 06 59 40.8 -07 46 40 5 RN          4.00                                       
 2317 MON 06 59 41.5 -07 46 29 5 RN          4.00                                       
 2318 CMA 06 59 27.0 -13 41 54 3 OCL                                                    
 2319 MON 07 00 32.2 +03 02 32 0 *Grp                                                   
 2320 LYN 07 05 41.9 +50 34 49 8 E    13.1   1.40   0.8 140     20136  3659             
 2321 LYN 07 05 58.9 +50 45 22 8 SBa  14.8   1.40   1.1 135     20141  3663             
 2322 LYN 07 06 00.3 +50 30 36 8 SBa  14.6   1.10   0.4 136     20142  3662             
 2323 MON 07 02 07.0 -08 23 00 3 II3m  5.9  16.00            50                       
 2324 MON 07 04 07.9 +01 02 41 3 II2r  8.4   8.00                             
 2325 CMA 07 02 40.2 -28 41 54 8 E    12.0   3.50   2.1   6     20047                   
 2326 LYN 07 08 10.9 +50 40 54 8 SBb  14.0   1.80   1.8         20218  3681             
 2327 CMA 07 04 07.2 -11 18 51 5 EN                                           
 2328 PUP 07 02 36.1 -42 04 07 8 E-S0 12.8   1.60   1.2 115     20046                   
 2329 LYN 07 09 07.9 +48 36 55 8 E-S0 13.5   1.30   1.1 175     20254  3695             
 2330 LYN 07 09 28.3 +50 09 09 8 E    15.7   0.40   0.3  30     20272                   
 2331 GEM 07 06 59.8 +27 15 42 3 IV1p  8.5  18.00                             
