"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"111845","SN 2022omz","02:34:53.410","+36:54:47.70","SN Ia","0.04","","","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","SCAT","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS22tbh","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2","UH88 - SNIFS","1","1","","17.914","cyan-ATLAS","2022-07-07 14:11:11.040","ATLAS_Bot1","","2022TNSTR1917....1T","2022TNSCR1933....1T",""
"111833","SN 2022omn","22:47:27.119","-25:39:53.34","SN Ia-91bg-like","0.05","","","ATLAS, ALeRCE, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","SCAT","ALeRCE; ATLAS; Pan-STARRS","ATLAS22tav","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS2 - GPC2","UH88 - SNIFS","1","1","","18.053","orange-ATLAS","2022-07-07 01:01:43.968","ATLAS_Bot1","","2022TNSTR1917....1T","2022TNSCR1933....1T",""
"111787","SN 2022okv","23:19:48.125","+07:06:02.62","SN Ia","0.055","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS22swu","ATLAS-MLO - ATLAS-01, ATLAS-STH - ATLAS-03","UH88 - SNIFS","1","1","","18.864","orange-ATLAS","2022-07-06 13:06:04.896","ATLAS_Bot1","","2022TNSTR1902....1T","2022TNSCR1923....1D",""
"111764","SN 2022ojy","23:58:32.381","+00:47:06.47","SN IIb","0.0605","","","ALeRCE, Pan-STARRS, YSE","ZTF, Pan-STARRS","ZTF","ALeRCE; Pan-STARRS; YSE","ZTF22aasjwqv","P48 - ZTF-Cam, PS2 - GPC2","LT - SPRAT","1","1","","18.8079","r-ZTF","2022-07-06 09:30:36.000","ALeRCE","","2022TNSTR1884....1M","2022TNSCR2348....1F",""
"111757","SN 2022ojr","17:43:36.470","+86:28:09.84","SN Ia","0.02364","","","ATLAS, ZTF, GaiaAlerts","ATLAS, ZTF, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ATLAS22swn","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.375","orange-ATLAS","2022-07-05 08:42:44.928","ATLAS_Bot1","","2022TNSTR1886....1T","2022TNSCR1942....1S",""
"111754","SN 2022ojo","01:44:35.620","+37:41:50.68","SN IIP","0.019","","","ATLAS, ALeRCE, GaiaAlerts, Pan-STARRS","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","SCAT","ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS","ATLAS22swi","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","UH88 - SNIFS","1","1","","16.938","orange-ATLAS","2022-07-05 13:37:28.416","ATLAS_Bot1","","2022TNSTR1886....1T","2022TNSCR1923....1D",""
"111753","SN 2022ojn","18:03:17.970","+11:01:00.19","SN Ia","0.039","WISEA J180317.91+110103.1","0.053267","XOSS, ALeRCE, Fink, GaiaAlerts","XOSS, ZTF, GaiaAlerts","ZTF","ALeRCE; Fink; GaiaAlerts; XOSS","XM76MZ","Gaia - Gaia-photometric, Other - Other, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.8","Clear-","2022-07-06 18:03:31.680","Zhang","","2022TNSTR1893....1Z","2022TNSCR1952....1S",""
"111714","SN 2022oie","12:07:27.690","+57:45:22.50","SN Ia","0.034306","","","ATLAS, GaiaAlerts, Pan-STARRS","ATLAS, GaiaAlerts, Pan-STARRS","SCAT","ATLAS; GaiaAlerts; Pan-STARRS","ATLAS22swc","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, PS2 - GPC2","UH88 - SNIFS","1","1","","17.591","orange-ATLAS","2022-07-05 06:06:46.944","ATLAS_Bot1","","2022TNSTR1886....1T","2022TNSCR1941....1H",""
"111712","SN 2022oic","03:03:54.560","+10:31:18.19","SN II","0.025","","","ATLAS, GaiaAlerts, ZTF, Pan-STARRS","ATLAS, GaiaAlerts, ZTF, Pan-STARRS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS22srs","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.341","orange-ATLAS","2022-07-04 14:13:48.288","ATLAS_Bot1","","2022TNSTR1886....1T","2022TNSCR2560....1P",""
"111676","SN 2022ogu","20:04:33.720","-39:07:08.94","SN Ia","0.021","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","SCAT","ATLAS; GaiaAlerts","ATLAS22srb","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric","UH88 - SNIFS","1","1","","17.839","cyan-ATLAS","2022-07-03 04:35:29.184","ATLAS_Bot1","","2022TNSTR1875....1T","2022TNSCR1933....1T",""
